Date,Sector,Province,Project Number,Name,Amount
2019-04-11T00:00:00Z,Arts,GP,73807,CHILDREN’S RIGHTS VISION (SA),701899.0
2019-04-15T00:00:00Z,Arts,LP,M12787,KHENSANI NYANGO FOUNDATION,2500000.0
2019-04-15T00:00:00Z,Sports,GP,32339,United Cricket Board,2000800.0
2019-04-23T00:00:00Z,Arts,EC,M12795,OKUMYOLI DEVELOPMENT CENTER,283000.0
2019-04-23T00:00:00Z,Arts,KZN,M12816,CARL WILHELM POSSELT ORGANISATION,343000.0
2019-04-24T00:00:00Z,Arts,MP,M12975,MANYAKATANA PRIMARY SCHOOL,200000.0
2019-04-24T00:00:00Z,Arts,WC,M13008,ACTOR TOOLBOX,286900.0
2019-04-24T00:00:00Z,Arts,MP,M12862,QUEEN OF RAIN ORPHANAGE HOME,321005.0
2019-04-24T00:00:00Z,Arts,MP,M12941,GO BACK TO OUR ROOTS,351025.0
2019-04-24T00:00:00Z,Arts,MP,M12835,LAEVELD NATIONALE KUNSTEFEES,1903000.0
2019-04-29T00:00:00Z,Charities,FS,M12924,HAND OF HANDS,5000000.0
2019-04-29T00:00:00Z,Charities,KZN,M13275,SIPHILISIWE,5000000.0
2019-04-29T00:00:00Z,Charities,EC,M13275,SIPHILISIWE,5000000.0
2019-04-30T00:00:00Z,Arts,FS,M13031,ABAFAZI BENGOMA,184500.0
2019-04-30T00:00:00Z,Arts,WC,M12945,HOOD HOP AFRICA,330360.0
2019-04-30T00:00:00Z,Arts,FS,M13046,BORN TWO PROSPER,340884.0
2019-04-30T00:00:00Z,Arts,FS,M13021,SA INDUSTRIAL THEATRE OF DISABILITY,1509500.0
2019-04-30T00:00:00Z,Arts,EC,M12850,NATIONAL ARTS FESTIVAL,3000000.0
2019-04-30T00:00:00Z,Sports,MP,M12841,Flying Birds Handball Club,126630.0
2019-04-30T00:00:00Z,Sports,KZN,M12879,Ferry Stars Football Club,128000.0
2019-04-30T00:00:00Z,Sports,WC,M12848,Blakes Rugby Football Club,147961.0
2019-04-30T00:00:00Z,Sports,WC,M12930,Riverside Golf Club,200000.0
2019-04-30T00:00:00Z,Sports,MP,M12809,Mpumalanga Rugby Union,800000.0
2019-04-30T00:00:00Z,Sports,WC,M12845,Western Cape Deaf Sport Federation,1125176.0
2019-05-02T00:00:00Z,Arts,LP,M12874,NALEDZI YOUTH DEVELOPMENT,289500.0
2019-05-02T00:00:00Z,Arts,LP,M13074,PILOT COMMUNITY DEVELOPMENT,314600.0
2019-05-02T00:00:00Z,Arts,KZN,M12875,AGRI VINTAGE,379000.0
2019-05-02T00:00:00Z,Arts,LP,M12906,AFRICULTURE AND EVENTS,388000.0
2019-05-02T00:00:00Z,Arts,LP,M13073,NDIMA VISUAL ARTS,400156.0
2019-05-03T00:00:00Z,Arts,LP,M13146,COMMUNITY CREATIVES NETWORKS,1570000.0
2019-05-06T00:00:00Z,Arts,LP,M13204,MAJA CHUENE UNEMPLOYED RURAL,693500.0
2019-05-06T00:00:00Z,Arts,NC,M13040,GARAGE DANCE ENSEMBLE,762240.0
2019-05-06T00:00:00Z,Arts,MP,M12815,MBOMBELA ARTS AND CULTURE FORUM,2262000.0
2019-05-06T00:00:00Z,Charities,EC,M12976,ZINGISA DAY CARE CENTRE,34500.0
2019-05-06T00:00:00Z,Charities,MP,M12966,Hlayisekani Creche & Day Care Centre,244000.0
2019-05-06T00:00:00Z,Charities,KZN,M12779,Siyibo Senior Citizen Club,279900.0
2019-05-06T00:00:00Z,Charities,KZN,M12807,Pietermaritzburg Benevolent Society,363902.0
2019-05-06T00:00:00Z,Charities,FS,M13013,Lapologang Old Age Day Centre,674759.0
2019-05-06T00:00:00Z,Charities,KZN,M12806,Umtapo Centre,926700.0
2019-05-06T00:00:00Z,Charities,FS,M12794,The Bloemfontein Society for the Prevention of Cruelty to Animals,975000.0
2019-05-07T00:00:00Z,Arts,WC,M12955,FIRST STEP BALLET,250000.0
2019-05-07T00:00:00Z,Arts,WC,M12890,THE CAPE TOWN OPERA COMPANY,2750000.0
