Date,Sector,Province,Project Number,Name,Amount
2024-03-12T00:00:00Z,UNSPECIFIED,GP,M56060,Netball South Africa,21000000
2023-06-15T00:00:00Z,UNSPECIFIED,GP,M56061,Swimming South Africa,9210000
2023-07-26T00:00:00Z,UNSPECIFIED,GP,M56061,Swimming South Africa,9210000
2023-05-22T00:00:00Z,Sports,GP,M56059,Special Olympics South Africa,5050000
2023-06-05T00:00:00Z,UNSPECIFIED,GP,M56077,South African National Boxing Organisation,4675000
2024-03-29T00:00:00Z,UNSPECIFIED,GP,M57439,Phelindaba Chess Association,4576400
2023-09-01T00:00:00Z,UNSPECIFIED,GP,M51280,CHOC Childhood Cancer Foundation South Africa,3800000
2023-06-05T00:00:00Z,UNSPECIFIED,GP,M54187,Cricket South Africa,3760000
2024-03-29T00:00:00Z,UNSPECIFIED,GP,M58796,South African Transplant Sports Association,3740610
2024-03-29T00:00:00Z,UNSPECIFIED,WC,M57369,The Saartjie Baartman Centre for Women and Children,3536160
2024-02-26T00:00:00Z,UNSPECIFIED,FS,M56490,South African Football Association Thabo Mofutsanyana,3516000
2024-02-19T00:00:00Z,UNSPECIFIED,NW,M49466,North West Social Work Veterans Organisation 25778,3424000
2023-06-15T00:00:00Z,UNSPECIFIED,GP,M56057,Wheelchair Basketball SA,3000000
2023-06-15T00:00:00Z,UNSPECIFIED,GP,M56060,Netball South Africa,3000000
2024-01-01T00:00:00Z,UNSPECIFIED,GP,M49010,The South African National Council for the Blind,3000000
2024-03-18T00:00:00Z,UNSPECIFIED,NW,M57208,Itireleng Project 9988,2900000
2023-07-05T00:00:00Z,UNSPECIFIED,MP,M50768,CMR Child And Youth Care Centre,2851900
2023-09-01T00:00:00Z,UNSPECIFIED,NW,M54914,SAVF Rethabile Klerksdorp Kinderhuis,2718247
2024-03-12T00:00:00Z,UNSPECIFIED,KZN,M56250,Sparks Estate Cheshire Home,2676088
2023-06-13T00:00:00Z,UNSPECIFIED,KZN,M56097,Canoeing South Africa,2670000
2024-03-29T00:00:00Z,UNSPECIFIED,NW,M57841,South African Theatre Practitioners In Advancement,2653240
2024-03-12T00:00:00Z,UNSPECIFIED,GP,M58816,Tembisa Child and Family Welfare Society,2500000
2023-06-06T00:00:00Z,UNSPECIFIED,WC,M56078,South African Gymnastics Federation,2480000
2023-10-01T00:00:00Z,UNSPECIFIED,FS,M52134,B Kind Always Foundation,2479000
2024-02-26T00:00:00Z,UNSPECIFIED,WC,M56670,The Haven Night Shelter Welfare Organisation,2418090
2023-06-21T00:00:00Z,UNSPECIFIED,NW,M49397,Lifeline Mafikeng,2362800
2023-09-01T00:00:00Z,UNSPECIFIED,FS,M51929,"Engo Ons Woning, Sentrum vir Bejaardes, Petrusburg",2224345
2024-02-28T00:00:00Z,UNSPECIFIED,NW,M57969,MTS Ancillary Health Care Services,2202846.4
2023-06-05T00:00:00Z,UNSPECIFIED,GP,M55282,Athletics South Africa,2200000
2023-11-01T00:00:00Z,UNSPECIFIED,WC,M53600,Cape Town Environmental Education Trust,2200000
2024-03-12T00:00:00Z,UNSPECIFIED,EC,M57610,SANCA Central Eastern Cape,2200000
2024-03-29T00:00:00Z,UNSPECIFIED,GP,M56612,Child Welfare Tshwane,2200000
2024-03-29T00:00:00Z,UNSPECIFIED,NC,M57232,Ntlhokomelele Ngwana Home of Disability 17266,2033756
2024-02-19T00:00:00Z,UNSPECIFIED,NC,M56294,GIG Centre,2000000
2024-02-19T00:00:00Z,UNSPECIFIED,NW,M57775,Angels Of Tomorrow Community Support Center 20178,2000000
2024-03-19T00:00:00Z,UNSPECIFIED,NC,M56668,Huis H.Du P.Picard Old Aged Home,2000000
2024-03-29T00:00:00Z,UNSPECIFIED,GP,M56245,Stabilis Treatment Centre,1900000
2023-08-01T00:00:00Z,UNSPECIFIED,WC,M51212,St Michael's Child & Youth Care Centre,1856825
2024-02-26T00:00:00Z,UNSPECIFIED,WC,M56866,Child Welfare South Africa : Helderberg,1800000
2024-03-29T00:00:00Z,UNSPECIFIED,GP,M57107,Education Africa,1800000
2024-03-29T00:00:00Z,UNSPECIFIED,GP,M56120,Redumetse Care Of The Aged,1800000
2024-02-19T00:00:00Z,UNSPECIFIED,NC,M58259,A C V V Springbok 10276,1739484
2023-07-07T00:00:00Z,UNSPECIFIED,WC,M51227,Orion Organisation,1713562
2023-08-01T00:00:00Z,UNSPECIFIED,WC,M53232,Dance for All,1700000
2024-03-12T00:00:00Z,UNSPECIFIED,GP,M58533,Zilisimenye Elderly Home,1700000
