Province,Name,Amount
NORTHERN CAPE,CREATIVE ARTS EMPOWERMENT PROJECT,258000.0
FREE STATE,SETSOTO CREATIVE HOMEWORKS,275000.0
FREE STATE,KWACHA DEVELOPMENT NPC,408000.0
NORTHERN CAPE,YOUNG BLACK FAMILY,73500.0
NORTHERN CAPE,ZIBSICRAFT NPC,4000000.0
GAUTENG,"EVANGELICAN LUTHRANA CHURCH IN SOUTHERN AFRICA DEVELOPMENT
SERVICE",325568.0
MPUMALANGA,MADULE PRE - SCHOOL,325500.0
MPUMALANGA,NHLENGELETI CRECHE,103450.0
MPUMALANGA,TSEVENI KHOZA CRECHE AND DAY CARE CENTRE,146500.0
MPUMALANGA,GINGIRIKANI CRECHE,125500.0
MPUMALANGA,EKURHULENI PRE-SCHOOL,231500.0
NORTHERN CAPE,RAINBOW DAY CARE CENTRE,115070.0
GAUTENG,CARROLL SHAW MEMORIAL CENTRE,97024.08
GAUTENG,TIISETSO PRE & DAY CARE CENTRE,476728.75
GAUTENG,ULANDI KINDERGARDEN,126637.5
GAUTENG,MAPULE KIDEO CENTRE,276380.95
GAUTENG,EBENEZER CHILD DEVELOPMENT PROGRAMME,60486.11
NORTHERN CAPE,THE ASSOCIATION FOR  SUSTAINABLE RURAL DEVELOPMENT,100952.0
LIMPOPO,TAKALANI - NANA HOME CARE CENTRE,400875.0
EASTERN CAPE,MARANATHA STREETWORKERS TRUST,909500.0
LIMPOPO,BAHLALOGA COMMUNITY HOME BASED CARE,272000.0
MPUMALANGA,SLIMVIKIES NURSERY SCHOOL,126000.0
MPUMALANGA,LYDENBURG RUSOORD,158000.0
MPUMALANGA,NEW GENERATION CENTRE,113600.0
MPUMALANGA,ENTOKOZWENI DAY CARE & PRE-SCHOOL,152000.0
MPUMALANGA,CHRISTELIK-MAATSKAPLIKE RAAD (CMR) MPUMALANGA,389852.0
MPUMALANGA,CHRISTELIK MAATKAAPLIKE RAAD VAN MPUMALANGA LAEVELD,147048.0
LIMPOPO,VHUTSHILO MOUNTAIN SCHOOL,203370.0
GAUTENG,KWASA COLLEGE,352500.0
MPUMALANGA,BAJABULILE DAY CARE,137000.0
GAUTENG,ITUMELENG CARLY'S DAY CARE CENTRE,363962.0
GAUTENG,WEST RAND YOUTH DEVELOPMENT,300000.0
MPUMALANGA,NHLUVUKO DAY CARE CENTRE,161000.0
MPUMALANGA,KURISANI CRECHE,139520.0
MPUMALANGA,LUTSANDVO PRE SCHOOL,140000.0
MPUMALANGA,SIBOSHWA HELPING HAND HOME BASED CARE,138000.0
MPUMALANGA,WISANI DAY CARE,138000.0
GAUTENG,BOITUMELO DAY CARE CENTRE,500000.0
EASTERN CAPE,HLOMELIKUSASA - SKILLS FOR THE FUTURE,300000.0
MPUMALANGA,INCABA OLD  AGE  HOME  BASE CARE,150000.0
MPUMALANGA,EKUJABULENI WORKSHOP FOR PEOPLE WITH DISABILITIES,135000.0
MPUMALANGA,MKHUHLU COMMUNITY HOME BASED CARE PROJECT,145000.0
MPUMALANGA,LWATI LWEMFUNDO EDUCARE,371127.0
MPUMALANGA,AMASS CENTRE FOR DISABLED,250000.0
MPUMALANGA,KOSMOS KINDERHAWE,997500.0
MPUMALANGA,ARISE AND SHINE CRECHE,293000.0
MPUMALANGA,NIGHTS PRE SCHOOL AND CRECHE,170790.0
MPUMALANGA,MALEPE DAY CARE CENTRE,735500.0
MPUMALANGA,CONCERNED CHRISTIANS OF BETHAL & EMZINONI FOR ORPHANS,442354.0
MPUMALANGA,MBUMBA HOME BASED CARE,359500.0
MPUMALANGA,SAVF LOUIS HILDEBRANDT KINDERHUIS,140000.0
MPUMALANGA,CHRISTELIK MAATSKAPLIKE RAAD VAN VOLKSRUST,189000.0
GAUTENG,CHANGE THE WORLD TRUST,159498.0
KWAZULU-NATAL,QAPHELANI COMMUNITY OUTREACH PROJECT,136000.0
MPUMALANGA,PROGRESS DAY CARE CENTRE,140000.0
WESTERN CAPE,UHAMBO FOUNDATION,500000.0
MPUMALANGA,SHITHUTHA CRECHE,351332.0
MPUMALANGA,ATHURSTONE PRE SCHOOL,151500.0
MPUMALANGA,KAMHLUSHWA OLD AGE GROUP,135000.0
MPUMALANGA,BAMBANANI CLUB FOR THE AGED,130000.0
MPUMALANGA,GATEWAY EDUCARE CENTRE,171400.0
MPUMALANGA,SIKHULILE EDUCARE CENTRE,300000.0
MPUMALANGA,HIGHVELD EAST AIDS PROJECT SUPPORT,617500.0
WESTERN CAPE,BELL VALLEY HIV INITIATIVE,300000.0
WESTERN CAPE,ASSOCIATION FOR THE SENSORY DISABLED,999245.0
MPUMALANGA,LYDENBURG DIENSENTRUM VIR BEJAARDES,130380.0
MPUMALANGA,THANDANANI MHLUZI OLD AGE HOME,129280.0
MPUMALANGA,KHULANGELWATI CRECHE,140000.0
MPUMALANGA,SAVF BELFAST CHILDREN`S HOME,145000.0
MPUMALANGA,MABANA CRECHE,150178.0
KWAZULU-NATAL,THE FRIENDS IN IRELAND TRUST,210000.0
MPUMALANGA,CARING TOGETHER  DAY CARE CENTER,140000.0
MPUMALANGA,CHRISTELIK MAATSKAPLIKE RAAD VAN MIDDELBURG,397000.0
KWAZULU-NATAL,SANCA NONGOMA ALCOHOL & DRUG HELP CENTRE,325350.0
KWAZULU-NATAL,CHILD WELFARE SOUTH AFRICA UMZINTO,296000.0
MPUMALANGA,LITTLE ANGELS EDUCARE,120000.0
LIMPOPO,KONANANI HEALTH DEVELOPMENT PROJECT,224000.0
GAUTENG,BENONI SPCA,120000.0
MPUMALANGA,SAVF SANTIE ZIETSMAN DAGSORG,323000.0
WESTERN CAPE,ELGIN LEARNING FOUNDATION (ELGIN COMMUNITY COLLEGE),500000.0
LIMPOPO,KHAKHU VICTIM EMPOWERMENT INTERGRATED ELDER PERSONS YOUTH,381000.0
LIMPOPO,FAHLOSHANANG BAKGAGA CENTRE,127100.0
LIMPOPO,SILAWA DROP IN CENTRE,284300.0
LIMPOPO,RELELENG DROP IN CENTRE,370250.0
LIMPOPO,ITLHOPHENG HOME BASED CARE,125200.0
MPUMALANGA,SINOMAMA DROP IN CENTRE,124500.0
LIMPOPO,BAHLALOGA COMMUNITY HOME BASED CARE,136678.0
GAUTENG,PHAHAMANG PRE SCHOOL,178620.0
GAUTENG,CHRSITIAN SOCIAL SERVICES CONCIL BRAKPAN/TSAKANE,165000.0
GAUTENG,ZANELE MTSHALI DISABILITY HOME,157646.0
LIMPOPO,MAMMADILA COMMUNITY DEVELOPMENT,97796.0
GAUTENG,UBUBELE EDUCATIONAL AND PSYCHOTHERAPY TRUST,126000.0
LIMPOPO,LEHLABILE CRECHE,150000.0
LIMPOPO,MOLOGADI CRECHE,177000.0
LIMPOPO,BATLAPHELA BAKONE SERVICE CENTRE,130000.0
LIMPOPO,BRIGHT FUTURE YOUTH DEVELOPMENT,120000.0
LIMPOPO,SAVF TZANEEN DIENSBESTUUR,138995.16
LIMPOPO,TSHUKUDU MABUSA CRECHE AND PRE SCHOOL,102834.0
MPUMALANGA,MADAKWANE HOME BASED CARE,149600.0
MPUMALANGA,SWAVANA CHILDREN'S PROJECT,137000.0
GAUTENG,LITTLE ANGELS EDUCARE,130000.0
GAUTENG,DREAMERS DAY CARE,122500.0
KWAZULU-NATAL,AMAGUGU ESIZWE CRECHE,136250.0
GAUTENG,SINELIZWI DAY CARE,120000.0
GAUTENG,JOHN WESLEY CHILD CARE CENTRE,602000.0
LIMPOPO,CHARLOTTE MAKGOMO MANNYA- MAXEKE COMMUNITY CENTRE,119000.0
KWAZULU-NATAL,NOTHISIWE CRECHE,250000.0
GAUTENG,ENTOKOZWENI DAY CARE,140332.0
KWAZULU-NATAL,JOHN PEATTIE HOUSU,123286.0
MPUMALANGA,ISIBONELO DAY CARE CENTRE,140000.0
GAUTENG,HOPE FOR LIFE,128000.0
MPUMALANGA,MTOKOZI CRECE,130000.0
MPUMALANGA,VAXUMI COMMUNITY DAY CARE,93000.0
FREE STATE,REGODILE DAY CARE CENTRE,151000.0
GAUTENG,SITHANDIWE DISABLED CARE CENTRE,118399.0
GAUTENG,CREATIVE EARLY LEARNING AND  CARE,106500.0
MPUMALANGA,MOOIPLAAS DROP IN CENTRE,110080.0
MPUMALANGA,MASISIZANE HOME BASED CARE,84000.0
MPUMALANGA,AUNTY WINNIE DAY CARE AND PRE SCHOOL,141650.0
MPUMALANGA,SINETHEMBA MBUZINI DROP IN CENTER,120680.0
MPUMALANGA,BELFAST COMMUNITY HOME BASED CARE,137000.0
MPUMALANGA,SIYANAKEKELA HOME BASED CARE,123000.0
GAUTENG,JOSEPH GERARD FOUNDATION,120000.0
MPUMALANGA,PHEPHELAPHI HOME,122000.0
MPUMALANGA,PHILANI LEBADZALA SERVICE CENTRE,127000.0
MPUMALANGA,SILETSIMPILO HOME BASE CARE,121770.0
MPUMALANGA,SILINDOKUHLE DISABLED PEOPLE ASSOCIATION,156194.0
MPUMALANGA,ZENZELE DAY CARE CENTRE,139700.0
MPUMALANGA,TFUFUKANI  EDUCARE CENTRE,137000.0
LIMPOPO,CHRISTELIK MAATKAAPLIKE RAAD LOUISBTRICHARDT,139211.0
LIMPOPO,MMAMOPHOLOSI PRE SCHOOL,140240.0
FREE STATE,SETSHABELO FAMILY AND CHILD SERVICES,119436.6
FREE STATE,LESEDI LA SETJHABA WELFARE ORGANISATION,133000.0
FREE STATE,EVOLUTION POT FOUNDATION,81840.0
FREE STATE,QALA PHELANG TALA,120000.0
FREE STATE,ORANJE-VROUEVERENIGING HUIS SILWERJARE,152000.0
FREE STATE,EMMANUEL DAY CARE CENTRE,158397.0
FREE STATE,"LECHABILE COMMUNITY TRAINING,DEVELOPMENT AND EMPOWERMENT
SERVICES",120000.0
FREE STATE,Z.R. MAHABANE COMMUNITY CENTRE,127980.0
NORTHERN CAPE,THE ASSOCIATION FOR  SUSTAINABLE RURAL DEVELOPMENT,183600.0
MPUMALANGA,THOKOZANI CRECHE,109100.0
KWAZULU-NATAL,AKHANANI DAY CARE,131543.0
MPUMALANGA,VULINQONDO EDUCARE,125000.0
MPUMALANGA,PHUMUZINXONDO CENTRE PROJECT(VULINQODO EDUCARE),140000.0
MPUMALANGA,CHRISTELIK -MAATSKAPLIKE RAAD VAN ERMELO,130000.0
GAUTENG,SAFE AND SOUND LEARNING ASSOCIATION,138500.0
MPUMALANGA,CHILD WELFARE SOUTH AFRICA GOVAN MBEKI,140000.0
MPUMALANGA,CHRISTELIKE  MAATKAPLIKE RAAD VAN CAROLINA,140000.0
LIMPOPO,FOLA MOYA PROJECT FOR THE AGED,108000.0
LIMPOPO,MMADIBOKA PE-SCHOOL & CRECHE,301000.0
LIMPOPO,NGHEZIMANI DAY CARE,63946.0
GAUTENG,PITSONG PRE-SCHOOL & CRECHE,145916.0
GAUTENG,MANDELAVILLE CRISIS COMMITTEE,140000.0
LIMPOPO,LANJENE CRECHE CUM PRE-SCHOOL,159133.0
GAUTENG,THUSANANG HOME FEEDING SCHEEM,120000.0
LIMPOPO,HITEKANI CRECHE,140000.0
LIMPOPO,MAHATLANI COMMUNITY CRECHE,140000.0
GAUTENG,RISING STAR PRE-SCHOOL,120000.0
LIMPOPO,KUTAMA HOME BASED CARE,140000.0
LIMPOPO,REAGOLA DAY CARE CENTRE,498000.0
LIMPOPO,PHUTHANANG COMMUNITY CRECHE,67000.0
NORTH WEST,MPHO ENTLE EARLY LEARNING CENTRE,105000.0
LIMPOPO,PATANTSOANE HOME BASED CARE,196138.0
LIMPOPO,SAVF PIETERSBURG GESINSORG,128970.0
LIMPOPO,VUNWE DAY CARE,121000.0
LIMPOPO,ITEKENG HOME BASED CARE,310000.0
LIMPOPO,MAMASEGARE CRECHE,97135.0
LIMPOPO,KGATELOPELE COMMUNITY HOME BASED CARE,330840.0
LIMPOPO,ITUKISETSENG DROP-IN-CENTRE,205000.0
EASTERN CAPE,VUSISIZWE CRECHE AND PRE-SCHOOL,164398.0
LIMPOPO,BALETHAVHA HEALTH CARE PROJECT,263511.0
LIMPOPO,UNARINE HOME COMMUNITY BASED CARE,140000.0
LIMPOPO,MAVHUVHUNI HOME BASED CARE SHAKADZA PROJECT,211400.0
FREE STATE,"EBENHAESER SENTRUM VIR GESTREMDES, VILJOENSKROON",177500.0
FREE STATE,BULTFONTEIN VERSORGINGSDIENSTE,119375.0
GAUTENG,ZIBSILOR,4948559.71
LIMPOPO,VUWANI HOME BASED CARE,238940.0
GAUTENG,KAMVA ELITSHA VOSLOORUS COMMUNITY BASED SERVICES,261355.0
LIMPOPO,LESEDI DAY CARE,138000.0
GAUTENG,BOPHELONG COMMUNITY CHILDREN'S HOME,344000.0
MPUMALANGA,EKUTHULENI MULTI PURPOSE CARE CENTRE,338100.0
GAUTENG,EKKLESIA PARK TUISTE VIR BEJAARDES,224593.0
LIMPOPO,TSOGANG BASADI DROP IN CENTRE,189000.0
LIMPOPO,LIMPOPO MENTAL HEALTH SOCIETY,265860.0
LIMPOPO,MATOME CRECHE AND PRE SCHOOL,164086.0
GAUTENG,TEDDY TOTS DAY CARE CENTRE,169800.0
GAUTENG,USIZO COMMUNITY DEVELOPMENT PROJECTS,914500.0
GAUTENG,RY-MA -IN SELF-HELP CENTRE,310840.0
NORTHERN CAPE,TEHILLAH MZIPAH DE AAR NPC,238217.0
MPUMALANGA,MPUMALANGA AGE- IN-ACTION,133154.0
EASTERN CAPE,HELP OUR PEOPLE EXCEL (HOPE) FOUNDATION,635302.0
LIMPOPO,RETSWELAPELE HOME COMMUNITY BASED CARE,124300.0
NORTH WEST,BODY OF CHRIST DAY CARE CENTRE,147400.0
LIMPOPO,ITEKENG OLD AGE,96000.0
LIMPOPO,MMANGENENG CRECHE,221000.0
LIMPOPO,MOROANGOATO CRECHE,192600.0
LIMPOPO,MADIGA KGOKAGANANG DIC,270941.0
LIMPOPO,TLHAKODISA CRECHE,324349.0
GAUTENG,MAMA BRENDA DAY CARE,166500.0
GAUTENG,SAKHISIZWE SUPPORT GROUP,120000.0
LIMPOPO,MMANAWE ORPHAN CARE,368782.0
LIMPOPO,MAKGEILA CRECHE,186200.0
LIMPOPO,BONARENG PRE-SCHOOL AND CRECHE,195316.0
FREE STATE,SUNRISE DAY CARE CENTRE,151997.0
GAUTENG,DENZHE CHILDRENS HOME AND DAY CARE CENTRE,200600.0
LIMPOPO,KGOTLELELANG BASADI HOME BASED CARE,213500.0
LIMPOPO,MPOREANA COMMUNITY PRE-SCHOOL,112515.0
GAUTENG,KGOPOLOEBGOTSE DEVELOPMENT CENTRE,156500.0
NORTH WEST,WAR_RNA,5863749.54
LIMPOPO,MUSHUMO USHAVHA ZWANDA,2839686.55
KWAZULU-NATAL,UBUSU NPC,3578441.11
EASTERN CAPE,ZANETHEMBA FAMILY PRESERVATION,184468.0
WESTERN CAPE,DEAFBLIND SOUTH AFRCIA,963864.0
NORTHERN CAPE,GOPOLANANG OLD AGE CENTRE,356200.0
KWAZULU-NATAL,SINETHEMBA CRECHE,728448.0
WESTERN CAPE,IMIZAMO YETHU CRECHE,273294.0
KWAZULU-NATAL,NOMATHIYA LUNCHEON CLUB,397975.0
WESTERN CAPE,EMMANUEL EDUCARE,98000.0
NORTHERN CAPE,BATHO PELE COMMUNITY SOUP KITCHEN,393235.0
NORTHERN CAPE,TSHIRELETSO HOME BASED CARE,493500.0
KWAZULU-NATAL,SIYAKHA OGANISATION,241844.0
GAUTENG,ISO LIKAHULUMENI,104530.0
LIMPOPO,RABALI RESOURCE CENTRE,104700.0
GAUTENG,INNER CITY MISSION SOUTH AFRICA,360905.0
LIMPOPO,THANDULULO DAY CARE CENTRE,140000.0
MPUMALANGA,THEMBALETHU PRE SCHOOL,400500.0
MPUMALANGA,STHEMBINKOSI,122700.0
FREE STATE,LESANG BANA BA TLE HONNA,99000.0
LIMPOPO,AHITIPHINENE CHILD CARE CENTRE,205400.0
MPUMALANGA,HAPPY LITTLE MINDS,235900.0
MPUMALANGA,SHALOM OLD AGE IN ACTION CENTRE,192998.0
KWAZULU-NATAL,THULOTHANO CRECHE AND PRE SCHOOL,268725.0
GAUTENG,MPUMELELO SOUP KITCHEN,150000.0
MPUMALANGA,NCEDANANI MULTI-PURPOSE ENTRE,222250.0
MPUMALANGA,MASIPHILE HOME BASE CARE,113567.0
GAUTENG,ITJHUDU COMMUNITY DEVELOPMENT PROJECT,190934.0
GAUTENG,HAPPY HOMES DAY CARE 1,167500.0
NORTHERN CAPE,CHANGE IS POSSIBLE RURAL  DEVELOPMENT ORGANISATION,173029.0
LIMPOPO,HOME TEKNA (PLACE OF SAFETY CUM CHILDREN HOME),683900.0
GAUTENG,SOUTH AFRICAN DRUG ABUSE AND AIDS COUNCIL (SADAAC),446500.0
LIMPOPO,MOTSEPHIRI COMMUNITY CRECHE,486070.0
FREE STATE,PABALLO CRECHE,237200.0
MPUMALANGA,DINGLEYDALE HOME COMMUNITY BASED CARE,127100.0
GAUTENG,LERATO LA MME DAY CARE CENTRE,355500.0
FREE STATE,AMAZING GRACE DAY CARE CENTRE,137903.0
MPUMALANGA,SISITASIVE DAY CARE,186000.0
FREE STATE,BETHULIE BOPHELONG VICTIM EMPOWERMENT,151500.0
MPUMALANGA,SIRAMANGWE OLD AGE CLUB,234942.0
GAUTENG,CHRISTELIK-MAATSKAPLIKE RAAD VAN SILVERPARK,578218.0
FREE STATE,A VOICE CRYING IN THE WILDERNESS,150000.0
MPUMALANGA,BANTWANA BAMI PRE SCHOOL,131500.0
FREE STATE,THUSANANG MAQHEKU AGED CLUB,164930.0
GAUTENG,THUTHUKANI DAY CARE,157324.0
FREE STATE,TLOTLO DAY CARE,160000.0
FREE STATE,ST. JOSEPH PRE SCHOOL,231366.0
FREE STATE,LERATONG CHILDRENS HAVEN,234400.0
GAUTENG,CHRISTELIK-MAATSKAPLIKE RAAD KEMPTON PARK/TEMBISA,420500.0
LIMPOPO,ALMIGHTY CHILD CARE,304885.0
GAUTENG,ANGELS HOME BASED CARE,166400.0
GAUTENG,ASHA DAY CARE CENTRE,236000.0
FREE STATE,BOPHELONG DISABILITY CENTRE,235774.0
LIMPOPO,RANARE CRECHE,176000.0
GAUTENG,PROGRESSIVE DAY CARE CENTRE,144440.0
MPUMALANGA,IKAGENG CRECHE AND DAY CARE CENTRE,220000.0
LIMPOPO,MARUNGOANE CRECHE & PRE SCHOOL,140699.0
LIMPOPO,KHOMELE HOME BASED CARE,149500.0
GAUTENG,ATLEGANG DAY & AFTER CARE,226604.0
FREE STATE,REBAOHE FOUNDATION NPC,302226.0
FREE STATE,MOEMANENG CHILD CARE FORUM,218000.0
MPUMALANGA,NALEDI YA MASA DAY CARE CENTRE,156500.0
KWAZULU-NATAL,CARELINE CRISIS & TRAUMA CENTRE,1404807.0
MPUMALANGA,MASAKHANE DUDU DAY CARE CENTRE,136000.0
FREE STATE,THUSANONG DISABILITY DAY CARE CENTRE,183200.0
FREE STATE,DALUXOLO DAY CARE CENTRE,174804.0
FREE STATE,MAHLASEDI PRE-SCHOOL AND CRECHE,156299.0
LIMPOPO,TAUKGAGA CRECHE,175000.0
GAUTENG,DIRELANG COMMUNITY PROJECT,152000.0
GAUTENG,EBENEZER EDUCATION CENTRE,172500.0
NORTH WEST,EMMANUEL LEARNING  CENTRE,240700.0
FREE STATE,DR M.L. MAILE DEVELOPMENT CENTRE,210070.0
GAUTENG,THE ALBINISM SOCIETY OF SOUTH AFRICA,300000.0
GAUTENG,CANCER ASSOCIATION OF SOUTH AFRICA (CANSA),1500750.0
GAUTENG,FAITH COMMUNITY DEVELOPMENT,77000.0
NORTH WEST,ATAMELANG SERVICE CLUB,391320.0
NORTH WEST,NTATAISE EARLY LEARNING CENTRE,244818.0
LIMPOPO,MAKGABO CRECHE,168374.0
LIMPOPO,PHATHO DROP IN CENTRE,119321.0
MPUMALANGA,PHAKAMANI CHILD AND COMMUNITY CENTRE,132500.0
KWAZULU-NATAL,IKHWEZI LOKUSA CRECHE,168109.0
NORTHERN CAPE,BOUTLWILE PRE SCHOOL,300758.0
GAUTENG,CHILD WELFARE TSHWANE,1326836.0
GAUTENG,MOSES MABHIDA FOUNDATION,293000.0
NORTHERN CAPE,TSHIRELETSO PRE SCHOOL,189400.0
LIMPOPO,SENDEDZA COMMUNITY DEVELOPMENT FOUNDATION,117000.0
NORTH WEST,LESEDI CRECHE,199100.0
GAUTENG,THE NASHUA CHILDRENS CHARITY FOUNDATION,150000.0
GAUTENG,IZANEMFUNDO DAY CARE AND PRE-SCHOOL,163000.0
KWAZULU-NATAL,SIPHUTHANDO CRECHE,165408.0
GAUTENG,RUS`N BIETJIE TUISTE VIR BEJAARDES,100000.0
GAUTENG,THUSANANG BATSOFE TEMONG ORGANISATION,229400.0
GAUTENG,ENTOKOZWENI DAY CARE,175717.0
GAUTENG,EKUKHUSELENI/ TSHIRELETSO,208000.0
MPUMALANGA,MASIBAMBISANE PROTECTIVE WORKSHOP,288986.0
MPUMALANGA,EBUHLENI SERVICES CENTRE,125000.0
GAUTENG,TSWELOPELE DAY CARE CENTRE,127500.0
FREE STATE,TUMAHOLE VICTIM SUPPRT SERVICES,130000.0
FREE STATE,BOITUMELO EDUCARE CENTRE,156000.0
KWAZULU-NATAL,ZIMELE CRECHE AND PRE-SCHOOL,282165.0
LIMPOPO,SEGWATI CRECHE,160500.0
LIMPOPO,NTOKOTO PRIMARY HEALTH ORGANISATION,140000.0
LIMPOPO,TLOTLANANG CRECHE,103000.0
LIMPOPO,BAKGAKGA COMMUNITY CRECHE,141141.0
LIMPOPO,MAKOLA CRECHE,129000.0
MPUMALANGA,KUSILE AIDS PROJECT,141000.0
GAUTENG,CHOC CHILDHOOD CANCER FOUNDATION SOUTH AFRICA,994000.0
LIMPOPO,DITLOKWE CRECHE,140000.0
GAUTENG,KGANYA CRECHE AND PRE SCHOOL,177950.0
LIMPOPO,ISIBINDI THOHOYANDOU,173500.0
WESTERN CAPE,XXY47 KLINEFELTERS SYNDROME,98000.0
LIMPOPO,NOAH ARK CHILDREN`S HOME,1358466.0
WESTERN CAPE,BUILDING THE WALLS OF COMMUNITIES,168000.0
GAUTENG,RAINBOW NATION,175296.0
LIMPOPO,PHAFOGANG DAY CARE CENTRE,175600.0
LIMPOPO,KGABE PRE SCHOOL AND CRECHE,339914.0
NORTHERN CAPE,LORE LWA BANA ELC,170701.0
NORTHERN CAPE,THARIEMANG EARLY LEARNING DEVELOPMENT,273564.0
LIMPOPO,MATLALA LEHWELERE HOME BASED CARE,141350.0
NORTHERN CAPE,ITEKENG PRE-SCHOOL,265164.0
GAUTENG,IMPILO CHILD PROTECTION AND  ADOPTION SERVICES NPC,248500.0
FREE STATE,TSWELOPELE PRE SCHOOL,132000.0
GAUTENG,CENTURION HOSPICE ASSOCIATION,187000.0
MPUMALANGA,LESEDI DAY CARE CENTRE,444400.0
MPUMALANGA,KODUMELA MOEPA THUTSE COMMUNITY DAY CARE,166420.0
MPUMALANGA,BUYELANI PRE SCHOOL,221438.0
MPUMALANGA,SINGABANTU SONKE PRE SCHOO,219699.0
MPUMALANGA,CHIEF J.M. DLAMINI CHESHIRE HOME,288004.0
KWAZULU-NATAL,GAMALAKHE SHOBEDE ECD AND EDUCATIONAL CENTRE,269000.0
LIMPOPO,NKURI HEALTH DEVELOPMENT ORGANISATION,140700.0
LIMPOPO,MAKUYA AFTERSCHOOL AND MENTORING CENTRE,126900.0
GAUTENG,ENTOKOZWENI EARLY CHILD LEARNING,114788.0
FREE STATE,LESANG CRECHE,140219.0
LIMPOPO,KHAKHANWA DROP IN CENTRE,216775.0
NORTH WEST,FANTACY DAY AND NIGHT CARE CENTRE,179900.0
FREE STATE,KOPANONG HIV/AIDS CONSORTUIM,126300.0
LIMPOPO,HOME OF FAITH DROP IN CENTRE,134120.0
LIMPOPO,NTWANANO SHIGAMANI OLD AGE PROJECT,160000.0
LIMPOPO,TSHITUNI FOUNDATION CENTRE AND SUBSTANCE ABUSE,100000.0
GAUTENG,BOPHELONG DAY CARE,285500.0
LIMPOPO,DIVHAMBELE DAY CARE CENTRE AND PRE SCHOOL,144400.0
LIMPOPO,MABALENG CRECHE,152700.0
LIMPOPO,LILLIAN NGOYI CRECHE AND PRE SCHOOL,199000.0
FREE STATE,THUSANO CREATIVE LEARNING CENTRE,158200.0
LIMPOPO,LEWEDI CARE DAY CENTRE,125154.0
LIMPOPO,KOPANONG CRECHE,132400.0
MPUMALANGA,MPUMELELO EDUCARE CENTRE,132000.0
GAUTENG,ROTANGANEDZA COMMUNITY CARE,117035.0
FREE STATE,LERATONG EDUCARE CENTRE,163600.0
GAUTENG,PELOTSHWEU  LITTLE GRADUATES DAY CARE,153000.0
GAUTENG,SINANI ELDERLY DAY CARE CENTRE,132593.0
GAUTENG,REAMOGETSWE EARLY CHILDHOOD DEVELOPMENT CENTRE,255700.0
FREE STATE,ELANGENI CHILD CARE CENTRE,199193.0
GAUTENG,REATLEGILE DAY CARE CENTRE,207800.0
FREE STATE,BOITEKO PRE SCHOOL,136341.0
FREE STATE,MINAS DAY CARE,132000.0
GAUTENG,RELOKOLOGILE DAY CARE CENTRE,157000.0
FREE STATE,TSWELOPELE CRECHE,142710.0
MPUMALANGA,AMOGELANANG COMMUNITY BASED CARE,87100.0
FREE STATE,REATLEHILE EDUCARE CENTRE,163000.0
GAUTENG,MATSOGO A THEBANE DAY CARE,155000.0
GAUTENG,OTHANSWENI DAY CARE& PRE SCHOOL,149000.0
NORTH WEST,KEMISETSO DAY CARE CENTRE,159500.0
GAUTENG,EKUPHUMELENI COMMUNITY PROJECT,142000.0
GAUTENG,WOODSIDE SANCTUARY,957808.0
MPUMALANGA,TIRISANO HOME BASED CARE,92400.0
WESTERN CAPE,UMTHAWELANGA EDUCARE CENTRE,182500.0
GAUTENG,EKUPHUMELENI BOPHELONG LUNCHEON CLUB,136040.0
GAUTENG,MIGHTY GOD LOVING CENTRE,80300.0
GAUTENG,USIZO HEALTHCARE PROJECT,144386.0
GAUTENG,WOMEN LEADERSHIP SOCIAL EMPOWERMENT,139100.0
WESTERN CAPE,SAMARITAAN HELP TO THE POOR AND THE NEEDY,342500.0
GAUTENG,CHRISTELII MAATKAPLIKE RAAD GAUTENG -OOS,157500.0
GAUTENG,OFENTSE CONQUER DEVELOPMENT,133800.0
EASTERN CAPE,CHILD WELFARE SOUTH AFRICA: GRAHAMSTOWN,942490.0
EASTERN CAPE,ZWELIVELILE ECD CENTRE,225819.0
GAUTENG,EMMANUEL DAY CARE AND CHILD DEVELOPMENT CENTRE,130000.0
EASTERN CAPE,ALL SAINTS DAY CARE 3000 EMPOWERING SERVICES NPC,176500.0
EASTERN CAPE,NDZONDELELO DAY CARE CENTRE,316307.0
MPUMALANGA,SANELE DAY CARE CRECH,164500.0
LIMPOPO,ERNEST MASHITA CRECHE,195934.0
NORTH WEST,ITUMELENG CRECHE,272700.0
LIMPOPO,AGISHANANG  AGED CLUB,291628.0
GAUTENG,BLIND SA,1159665.0
FREE STATE,ARISE `N SHINE KIDS CRECHE,209230.0
FREE STATE,LESEDING DAY CARE CENTRE,350881.0
KWAZULU-NATAL,SINOTHANDO CRECHE AND PRE SCHOOL,178000.0
FREE STATE,ITEMOHENG CRECHE,135600.0
FREE STATE,FICKSBURG CHILD CARE FORUM,149200.0
MPUMALANGA,DIVUSENI HOME BASED CARE,169800.0
GAUTENG,NOBANTU CHARITY TRUST,168500.0
MPUMALANGA,PHAFOGA PRE SCHOOL,125600.0
GAUTENG,KAGISANO DAY CARE CENTRE,133643.0
MPUMALANGA,SIVUKILE SOCIAL CLUB,190608.0
GAUTENG,PHUMELELE HOME WORK AND AFTER CARE CENTRE,136500.0
GAUTENG,MARY DIKELEDI PRE SCHOOL,129000.0
