Date,Sector,Province,Project Number,Name,Amount
2020-08-18T00:00:00Z,Arts,EC,M24806,Abancedisi Adult Choir,95000.0
2020-05-29T00:00:00Z,Arts,EC,M21241,Arts & Print Media Development Centre,100000.0
2020-08-24T00:00:00Z,Arts,EC,M22207,National Arts Festival Grahamstown,100000.0
2020-08-25T00:00:00Z,Arts,EC,M21794,Ashler Community Services,115000.0
2020-11-19T00:00:00Z,Arts,EC,M23516,The Nahoon Estuary Management Forum,136097.0
2020-11-19T00:00:00Z,Arts,EC,M24525,Andipheli Amandla Live in Concert,155000.0
2020-08-27T00:00:00Z,Arts,EC,M23417,King Me and Queen Me Mentoring Club,186000.0
2020-11-19T00:00:00Z,Arts,EC,M28439,Masiphathisane Community Development,190000.0
2020-08-25T00:00:00Z,Arts,EC,M22004,Eyamazulu Foundation,202200.0
2020-08-12T00:00:00Z,Arts,EC,M22020,Bumbane Secondary Development,224200.0
2020-10-01T00:00:00Z,Arts,EC,M22689,Masifunde Siphuhlisa Umfundi,229150.0
2020-11-19T00:00:00Z,Arts,EC,M24580,Siyaphila Community Support,230000.0
2020-12-17T00:00:00Z,Arts,EC,M22795,Fargo Charity and Events,232000.0
2020-08-27T00:00:00Z,Arts,EC,M22853,Indalo Yethu Foundation,238750.0
2020-10-20T00:00:00Z,Arts,EC,M22018,Lixhase 301 Agricultural Products,254150.0
2020-08-12T00:00:00Z,Arts,EC,M22705,Mpilo Yendalo Arts and Culture,254899.0
2020-09-29T00:00:00Z,Arts,EC,M22675,Rabti Trust,273400.0
2020-08-19T00:00:00Z,Arts,EC,M21790,Eastern Cape Energy Forum,297500.0
2020-11-19T00:00:00Z,Arts,EC,M24960,Sanehabo Community Services,314600.0
2020-08-19T00:00:00Z,Arts,EC,M21498,Siyamila,327850.0
2020-11-19T00:00:00Z,Arts,EC,M24952,Malakhiwelichume,331000.0
2020-11-19T00:00:00Z,Arts,EC,M25155,Thembalangomso Project,338000.0
2020-11-19T00:00:00Z,Arts,EC,M23361,Ubunye Foundation Trust,355402.0
2020-11-19T00:00:00Z,Arts,EC,M23740,Velisa Community Organisatione,361496.0
2020-08-27T00:00:00Z,Arts,EC,M23722,Sembese Projects,373000.0
2020-11-19T00:00:00Z,Arts,EC,M23993,Sisigqeba Sokhuhluma NPC,383400.0
2020-11-19T00:00:00Z,Arts,EC,M23717,Sivulindlela Projects,383569.0
2020-11-19T00:00:00Z,Arts,EC,M22863,Makulunge 301 Community Project,384950.0
2020-11-19T00:00:00Z,Arts,EC,M25121,Intsoboziyethu Projects,389615.0
2020-11-19T00:00:00Z,Arts,EC,M22963,Artwork for Art NPC,518000.0
2020-11-19T00:00:00Z,Arts,EC,M23622,Chisomo Incubation Hub,1018000.0
2020-08-19T00:00:00Z,Arts,EC,M21535,Vuma Arts and Culture,1326000.0
