Project,Name,Sector,Amount,total
29079,Life Line Nelspruit,CHARITIES,734275,4.80878351E8
24817,Lifeline North West - Rustenburg,CHARITIES,489875,4.80878351E8
22475,Lifeline OFS,CHARITIES,882140,4.80878351E8
30661,Lifeline Vaal Triangle,CHARITIES,1024000,4.80878351E8
26481,Lighthouse Hospice Association,CHARITIES,600000,4.80878351E8
31471,Little Light Pre-School,CHARITIES,471557,4.80878351E8
27212,Lower South Coast SPCA,CHARITIES,158000,4.80878351E8
26233,Lowveld Alcohol & Drug Help Centre,CHARITIES,407258,4.80878351E8
28388,Lukas Project,CHARITIES,44725,4.80878351E8
31918,Lusikisiki Paralegal Advice Centre,CHARITIES,373620,4.80878351E8
27551,Lutheran Community Outreach Foundation,CHARITIES,291780,4.80878351E8
26243,"Lydenburg Service Centre for the Elderly
& Disabled",CHARITIES,551736,4.80878351E8
24418,MaAfrika Tikkun Association,CHARITIES,4559814,4.80878351E8
23615,"Maboloka HIV/AIDS Awareness
Organisation",CHARITIES,1193199,4.80878351E8
27286,Madeira Home Housing Utility Company,CHARITIES,811250,4.80878351E8
31287,"Mamelodi Association for People with
Disabilities",CHARITIES,453860,4.80878351E8
28239,Marquard Gemeenskap Oord,CHARITIES,288000,4.80878351E8
20752,Masakhane Organisation of SA,CHARITIES,50000,4.80878351E8
28095,Masakhane Youth Centre,CHARITIES,1214900,4.80878351E8
27278,Masibambane Disabled Centre,CHARITIES,260500,4.80878351E8
27774,Matatiele Advice Centre,CHARITIES,585800,4.80878351E8
23696,Matatiele Child & Family Welfare Society,CHARITIES,599638,4.80878351E8
23696,Matatiele Child & Family Welfare Society,CHARITIES,599639,4.80878351E8
22221,Mdantsane Moravian Day Care,CHARITIES,50000,4.80878351E8
28219,Media & Training Centre for Health,CHARITIES,115400,4.80878351E8
25624,Mercy Clinic,CHARITIES,1500000,4.80878351E8
24291,Middelburg Child & Family Welfare Society,CHARITIES,636000,4.80878351E8
30516,Midrand SPCA,CHARITIES,186673,4.80878351E8
28091,Miqlat Ministry,CHARITIES,608088,4.80878351E8
26392,Mmakau ABET Centre,CHARITIES,368000,4.80878351E8
23273,Monwabisi Pre-School,CHARITIES,22119,4.80878351E8
28084,Moreson ACVV Childrens Home,CHARITIES,345163,4.80878351E8
31143,Morning Star Childrens Centre,CHARITIES,509000,4.80878351E8
30727,Motheo Day Care & Pre School,CHARITIES,563999,4.80878351E8
31530,"Mother Theresa Hospice, Prieska",CHARITIES,473000,4.80878351E8
28232,Mothergoose Day Care Centre,CHARITIES,91680,4.80878351E8
27523,MOTHWA Haven,CHARITIES,946425,4.80878351E8
27207,"Mount Currie Cottages Trust & Home for
the Aged",CHARITIES,84024,4.80878351E8
21081,Mphahlele Advice Office,CHARITIES,141000,4.80878351E8
11135,MTR Smit Childrens Home,CHARITIES,500000,4.80878351E8
27240,Mzomtsha Childrens Home,CHARITIES,289412,4.80878351E8
30742,Namakwa Katolieke Ontwikkeling,CHARITIES,537224,4.80878351E8
15004,"National Welfare Social Services &
Development Forum",CHARITIES,4221613,4.80878351E8
25193,Natal Childrens Home,CHARITIES,680302,4.80878351E8
26728,Natal Early Learning Resource Unit,CHARITIES,738605,4.80878351E8
25090,Natal Society for the Blind,CHARITIES,958124,4.80878351E8
23741,National Sea Rescue Institute of SA,CHARITIES,7435078,4.80878351E8
25093,NCVV Huis Joanna,CHARITIES,125698,4.80878351E8
22495,Nelspoort Advice & Development Office,CHARITIES,100000,4.80878351E8
27235,"NG Kerk Kinderhuis, Noord Kaap",CHARITIES,1428500,4.80878351E8
21857,NG Social Services Free State,CHARITIES,-60000,4.80878351E8
28241,NG Social Services Free State,CHARITIES,3933656,4.80878351E8
20609,NG Welsyn Kimberley,CHARITIES,565281,4.80878351E8
26389,NG Welsyn Vryburg,CHARITIES,577354,4.80878351E8
24429,NICRO,CHARITIES,11002229,4.80878351E8
24429,NICRO,CHARITIES,22004458,4.80878351E8
27797,Nkosinathi Foundation for the Blind,CHARITIES,883358,4.80878351E8
27211,"NOAH (Nurturing Orphans of Aids for
Humanity)",CHARITIES,1589225,4.80878351E8
30649,Nokuthula Centre,CHARITIES,541400,4.80878351E8
31878,Noluthando Educare,CHARITIES,76452,4.80878351E8
25158,North West Mental Health,CHARITIES,284450,4.80878351E8
23602,"North West Network Violence Against
Women",CHARITIES,524956,4.80878351E8
28463,"Northern Free State Mental Health
(Welkom)",CHARITIES,640000,4.80878351E8
27858,Northern Pretoria Development Scheme,CHARITIES,212864,4.80878351E8
21755,Nosizwe Educare Centre,CHARITIES,60855,4.80878351E8
26790,Nothisiwe Primary School,CHARITIES,50000,4.80878351E8
30496,Novalis House Inc,CHARITIES,655205,4.80878351E8
25762,Ntataise Lowveld Trust,CHARITIES,717414,4.80878351E8
28401,Ons Plek Projects,CHARITIES,222383,4.80878351E8
23720,Operation Hunger,CHARITIES,1879120,4.80878351E8
26486,Operation Upgrade of SA,CHARITIES,1172557,4.80878351E8
30717,Optimus Foundation for Adult Education,CHARITIES,980000,4.80878351E8
21235,Oranje Vroue Vereeniging Harrismith,CHARITIES,100000,4.80878351E8
23721,Order of St John Johannesburg,CHARITIES,3128301,4.80878351E8
26394,Orkney Child & Family Welfare Society,CHARITIES,500000,4.80878351E8
22463,"Orlando Children’s Home (Home of
Refuge)",CHARITIES,1589969,4.80878351E8
28111,"Oudtshoorn Child & Family Welfare
Society",CHARITIES,623620,4.80878351E8
12231,"Oudtshoorn Vereeniging Liggaam
Gestremdes",CHARITIES,199000,4.80878351E8
21848,OVV Excelsior,CHARITIES,151128,4.80878351E8
28391,OVV Lindley,CHARITIES,231750,4.80878351E8
28192,Parent Centre,CHARITIES,850000,4.80878351E8
28194,"Partners with After School Care Projects
(PASCAP)",CHARITIES,2000000,4.80878351E8
27604,Pathways Roodepoort,CHARITIES,650000,4.80878351E8
27812,Peddie Development Centre,CHARITIES,210000,4.80878351E8
30114,Peoples Dispensary for Sick Animals,CHARITIES,246379,4.80878351E8
27968,Peter Pan Down Syndrome Centre,CHARITIES,762265,4.80878351E8
26396,Philani Health Care Centre,CHARITIES,523400,4.80878351E8
31873,Philippi Trust SA,CHARITIES,474600,4.80878351E8
22012,Pieter Wessels Home for the Infirm,CHARITIES,181940,4.80878351E8
26487,Pietermaritzburg Association for the Aged,CHARITIES,292711,4.80878351E8
23758,"Pietermaritzburg & District Cerebral Palsy
Association",CHARITIES,327700,4.80878351E8
23695,"Pietermaritzburg & District Council Care
Aged (PADCA)",CHARITIES,2835143,4.80878351E8
24246,"Pinetown Highway Child & Family Welfare
Society",CHARITIES,1000000,4.80878351E8
21146,Plettenberg Animal Welfare Service,CHARITIES,75000,4.80878351E8
31073,Port Alfred Benevolent Society,CHARITIES,445100,4.80878351E8
21405,Port Alfred Child & Family Welfare Society,CHARITIES,203750,4.80878351E8
27276,Port Elizabeth Charity Organisation,CHARITIES,95000,4.80878351E8
31043,Port Elizabeth Deaf Association,CHARITIES,675000,4.80878351E8
24872,"Port Shepstone Child & Family Care
Society",CHARITIES,914385,4.80878351E8
24846,"Potchefstroom Child & Family Welfare
Society",CHARITIES,250000,4.80878351E8
26403,Potchefstroom Service Centre for the Aged,CHARITIES,986606,4.80878351E8
31302,Poverty Alleviation & Support for PWA,CHARITIES,250677,4.80878351E8
25190,Pregnancy Crisis (Resource) Centre,CHARITIES,280000,4.80878351E8
31619,Pretoria Child & Family Care Society,CHARITIES,7028125,4.80878351E8
30632,Pretoria Sungardens Hospice,CHARITIES,1306800,4.80878351E8
30511,Pretoria Workshop for the Blind,CHARITIES,315516,4.80878351E8
28088,Prince Albert Advice Office,CHARITIES,683000,4.80878351E8
30094,Princess Christian Home,CHARITIES,2073926,4.80878351E8
30124,Princess Christian Home,CHARITIES,180000,4.80878351E8
22744,"Progress Educational Counsellors
Organisation",CHARITIES,291100,4.80878351E8
30963,"Project for Conflict Resolution &
Development",CHARITIES,250000,4.80878351E8
30089,Quadriplegic Association Gauteng South,CHARITIES,334800,4.80878351E8
25148,Quadriplegic Association of KZN,CHARITIES,1060400,4.80878351E8
28114,Quadriplegic Association Western Cape,CHARITIES,145999,4.80878351E8
30561,"Queen Alexandra Retirement Village/
Home",CHARITIES,360000,4.80878351E8
24261,Rachel Swart Fund,CHARITIES,500000,4.80878351E8
21778,"Randfontein Kinder en
Gesinsorgvereniging",CHARITIES,150000,4.80878351E8
31787,Rape Crisis Helderberg,CHARITIES,429300,4.80878351E8
30656,"Ratanang Group for Children with Multiple
Disabilities",CHARITIES,193084,4.80878351E8
27564,Reginald Orsmond Counselling Services,CHARITIES,789000,4.80878351E8
25255,Rehoboth Trust,CHARITIES,389691,4.80878351E8
22453,Reholegile Child Development Centre,CHARITIES,75000,4.80878351E8
27563,"Reigerpark Early Childhood & Womens
Development",CHARITIES,641281,4.80878351E8
21333,Residentia Foundation,CHARITIES,346327,4.80878351E8
28592,Restorative Justice Centre,CHARITIES,1600000,4.80878351E8
30599,Ring Ting Nursery School & Baby Care,CHARITIES,244500,4.80878351E8
26530,Rivoni Society for the Blind,CHARITIES,771400,4.80878351E8
26726,Rob Smetherham Fund,CHARITIES,421402,4.80878351E8
30554,Roger Stephen Protected Workshop,CHARITIES,200000,4.80878351E8
27556,Rorisang Crèche & Pre-School,CHARITIES,82500,4.80878351E8
26148,Rural Development Support Programme,CHARITIES,540000,4.80878351E8
27521,Rural Institute for Education & Training,CHARITIES,742500,4.80878351E8
12454,"SA National Council Child & Family
Welfare",CHARITIES,2969300,4.80878351E8
10790,SA National Council for the Blind,CHARITIES,500000,4.80878351E8
25234,SA National Council for the Blind,CHARITIES,2931900,4.80878351E8
30942,SA San Institute,CHARITIES,156256,4.80878351E8
26476,SANCA Durban Alcohol & Drug Centres,CHARITIES,1731000,4.80878351E8
30680,SANCA Horizon Alcohol & Drug Centre,CHARITIES,700000,4.80878351E8
24625,SANCA National Directorate,CHARITIES,2788745,4.80878351E8
26827,SANCA Northern KZN,CHARITIES,309000,4.80878351E8
30532,SANCA Pretoria,CHARITIES,1300000,4.80878351E8
24527,"SANCA Tembisile Eastern Transvaal
(Witbank)",CHARITIES,404432,4.80878351E8
26460,SANCA Zululand,CHARITIES,510682,4.80878351E8
26419,SAVF Atamelang Shelter,CHARITIES,200000,4.80878351E8
24571,SAVF Carolina Ons Eie Ouetehuis,CHARITIES,322635,4.80878351E8
23545,SAVF Claremont,CHARITIES,284853,4.80878351E8
22081,SAVF Coligny,CHARITIES,-34387,4.80878351E8
22079,SAVF Donato,CHARITIES,403485,4.80878351E8
26398,SAVF Family Care Potchefstroom,CHARITIES,451421,4.80878351E8
24626,SAVF Head Office,CHARITIES,200000,4.80878351E8
21334,"SAVF Herfsakker Tehuis vir Bejaardes
(Nelspruit)",CHARITIES,473958,4.80878351E8
26249,SAVF Höeveldrif,CHARITIES,569940,4.80878351E8
26416,SAVF Huis Anna Viljoen,CHARITIES,1302588,4.80878351E8
23756,SAVF Kalinka Educare Crèche,CHARITIES,54000,4.80878351E8
27573,SAVF Kinross Herberg,CHARITIES,770000,4.80878351E8
24853,SAVF Lichthuis,CHARITIES,542493,4.80878351E8
24803,SAVF Lou van Wyk Tehuis,CHARITIES,254122,4.80878351E8
27362,SAVF Maroela Oord,CHARITIES,117480,4.80878351E8
26847,SAVF Maroela Oord Dienssentrum,CHARITIES,123388,4.80878351E8
30614,SAVF Millenium Centre,CHARITIES,1506250,4.80878351E8
22049,SAVF Nursery School,CHARITIES,102932,4.80878351E8
25758,SAVF Old Age Home (Middelburg ),CHARITIES,513157,4.80878351E8
24286,SAVF Old Age Home Hendrina,CHARITIES,300000,4.80878351E8
26231,SAVF Piet Retief,CHARITIES,200000,4.80878351E8
25628,SAVF Rodeonhof Tehuis Vir Bejaardes,CHARITIES,212923,4.80878351E8
30585,SAVF Ruimte Dienssentrum,CHARITIES,275938,4.80878351E8
24277,SAVF Rustig Old Age Home,CHARITIES,2213277,4.80878351E8
27215,SAVF Service Centre Glencoe,CHARITIES,172500,4.80878351E8
25252,SAVF Ventersdorp Old Age Home,CHARITIES,476238,4.80878351E8
26700,SAVF Wielie Walie Kleuterskool,CHARITIES,20193,4.80878351E8
24274,SAVF Witbank Day Care,CHARITIES,625797,4.80878351E8
26554,Sedibeng Sa Tshepo,CHARITIES,766247,4.80878351E8
30083,Services for the Blind,CHARITIES,1651666,4.80878351E8
27899,"Shangri-La Self Help Centre for
Quadriplegics",CHARITIES,853400,4.80878351E8
27524,Sharpeville Care of the Aged,CHARITIES,1089085,4.80878351E8
31585,Shiloh Moravian Day Care Centre,CHARITIES,131116,4.80878351E8
22424,"Sijonga Phambili Community Learning
Centre",CHARITIES,425000,4.80878351E8
22850,Silawa Early Learning Centre,CHARITIES,75000,4.80878351E8
30112,Sisters Incorporated,CHARITIES,465000,4.80878351E8
20421,"Siyabhabha Trust Development & Welfare
Agency",CHARITIES,1000000,4.80878351E8
25266,Siyathuthuka Nursery School,CHARITIES,509007,4.80878351E8
27612,"Society for Children & Adults with Autism
- Key School",CHARITIES,460000,4.80878351E8
30671,Society of St. Vincent de Paul,CHARITIES,3919869,4.80878351E8
25861,SOS Children’s Village SA,CHARITIES,1783596,4.80878351E8
20401,SOS Children’s Village SA,CHARITIES,15794396,4.80878351E8
30078,South African Childrens Home,CHARITIES,702824,4.80878351E8
20935,"South African Council for English
Education",CHARITIES,62745,4.80878351E8
25202,South African Red Cross Air Mercy,CHARITIES,2700000,4.80878351E8
31425,Southern Free State Mental Health,CHARITIES,316400,4.80878351E8
27755,"Sparrows Child & Family Welfare Society
(Tsolwana)",CHARITIES,1127000,4.80878351E8
28231,SPCA Bloemfontein,CHARITIES,500000,4.80878351E8
28190,SPCA Cape of Good Hope,CHARITIES,115302,4.80878351E8
27826,SPCA Cradock,CHARITIES,385836,4.80878351E8
26478,SPCA Dundee & District,CHARITIES,150000,4.80878351E8
10492,SPCA Durban & Coastal,CHARITIES,755000,4.80878351E8
20963,SPCA East Griqualand,CHARITIES,176000,4.80878351E8
21231,SPCA Grahamstown,CHARITIES,50000,4.80878351E8
27233,SPCA Kimberley,CHARITIES,185218,4.80878351E8
21316,SPCA Kingwilliamstown,CHARITIES,56800,4.80878351E8
27569,SPCA Nigel,CHARITIES,100000,4.80878351E8
25118,SPCA Sani Underberg,CHARITIES,373400,4.80878351E8
30714,SPCA Springs,CHARITIES,150000,4.80878351E8
22121,SPCA Stilfontein,CHARITIES,25000,4.80878351E8
28464,SPCA Swellendam,CHARITIES,239455,4.80878351E8
27575,SPCA Tshwane,CHARITIES,500000,4.80878351E8
28224,SPCA Winelands,CHARITIES,100000,4.80878351E8
25994,SPCA Witbank,CHARITIES,100000,4.80878351E8
26390,SPCA Zeerust,CHARITIES,265000,4.80878351E8
31604,St. Anthony’s Education Centre,CHARITIES,1565000,4.80878351E8
25079,St. Anthony’s Home - Newcastle,CHARITIES,1436225,4.80878351E8
23694,St. Clements Home Based Care,CHARITIES,1279678,4.80878351E8
30500,St. John the Baptist Catholic Clinic,CHARITIES,1594300,4.80878351E8
23672,St. Vincent’s Childrens Home,CHARITIES,610376,4.80878351E8
30081,St. Josephs Care & Support Trust,CHARITIES,1507047,4.80878351E8
22388,St. Mary’s Catholic Mission Hospital,CHARITIES,750909,4.80878351E8
30964,St. Monica’s Centre,CHARITIES,620014,4.80878351E8
26230,"Standerton Advice & Development
Resource Centre",CHARITIES,300000,4.80878351E8
26464,"Stanger & District Child & Family Welfare
Society",CHARITIES,606000,4.80878351E8
28515,Stellenbosch Hospice,CHARITIES,551500,4.80878351E8
24739,Stilfontein Child & Family Welfare Society,CHARITIES,986290,4.80878351E8
27203,Sun City Nursery School,CHARITIES,130100,4.80878351E8
30086,Sunfield Home Wellington,CHARITIES,671630,4.80878351E8
26543,TAFTA (The Association for the Aged),CHARITIES,1151364,4.80878351E8
26543,TAFTA (The Association for the Aged),CHARITIES,1151363,4.80878351E8
31899,Tarkastad Home,CHARITIES,200000,4.80878351E8
30073,Tateni Home Care Nursing Service,CHARITIES,910837,4.80878351E8
24212,TB Alliance Dots Support Association,CHARITIES,1104610,4.80878351E8
27587,Tembisa Child and Family Welfare,CHARITIES,2178951,4.80878351E8
22851,Thandanani Mhluzi Service Centre,CHARITIES,283200,4.80878351E8
31926,"Thandukuphila Community Based
Organisation",CHARITIES,132301,4.80878351E8
29073,Thandululo Counselling Organisation,CHARITIES,232402,4.80878351E8
27214,Themba Club,CHARITIES,964155,4.80878351E8
32245,Themba Workcentre by the Disabled,CHARITIES,579999,4.80878351E8
26418,Tlamelang Day Care Centre,CHARITIES,72288,4.80878351E8
10339,Tongaat Child & Family Welfare Society,CHARITIES,32000,4.80878351E8
26477,Tongaat Child & Family Welfare Society,CHARITIES,500000,4.80878351E8
24520,Topsy Shelter,CHARITIES,2288705,4.80878351E8
23723,Training & Resources in Early Education,CHARITIES,891300,4.80878351E8
28276,Tshepang Educare Trust,CHARITIES,1052126,4.80878351E8
30604,Tuiste vir Bejaardes,CHARITIES,675169,4.80878351E8
22389,Turfhall Cheshire Home,CHARITIES,54257,4.80878351E8
28405,"Tygerberg Association for the Physically
Disabled",CHARITIES,384554,4.80878351E8
30109,Tygerberg Hospice,CHARITIES,144491,4.80878351E8
22284,Ubuntu Community Carebase Centre,CHARITIES,150000,4.80878351E8
27262,Uitenhage Child & Family Welfare,CHARITIES,572750,4.80878351E8
30768,Uitenhage Mental Health,CHARITIES,130245,4.80878351E8
27576,Uitkoms Home for Unmarried Mothers,CHARITIES,562003,4.80878351E8
20891,Umlazi Community Resource Centre,CHARITIES,100000,4.80878351E8
12663,Umtata Child & Family Welfare Society,CHARITIES,443000,4.80878351E8
27197,Umtata Child Abuse Resource Centre,CHARITIES,1046255,4.80878351E8
27227,"Upper Karoo Advice & Development
Agency",CHARITIES,321500,4.80878351E8
21119,Usizolwethu Home Based Care,CHARITIES,189425,4.80878351E8
22277,Uturn (Claremont Homeless Ministry),CHARITIES,150000,4.80878351E8
28952,Vaal Triangle Alcohol & Drug Help Centre,CHARITIES,769520,4.80878351E8
22520,"Van Rensburg Multi Purpose Frail Care
Centre",CHARITIES,1171828,4.80878351E8
27538,"Van Rensburg Multi Purpose Frail Care
Centre",CHARITIES,825300,4.80878351E8
27231,Vanzylsrus Support Care Group,CHARITIES,122700,4.80878351E8
27985,Vera School for Autistic Learners,CHARITIES,1178437,4.80878351E8
25092,Verulam Child & Family Welfare Society,CHARITIES,527812,4.80878351E8
31246,VGK Kinder Herberg Trust,CHARITIES,1425686,4.80878351E8
22652,Vhutshilo Mountain School,CHARITIES,50000,4.80878351E8
28496,Victoria Service Centre for the Aged,CHARITIES,200000,4.80878351E8
26788,Vryheid Hospice (Care Group),CHARITIES,65000,4.80878351E8
28269,"Vrystaat Versorging in Aksie - OVV
Brandfort",CHARITIES,1785133,4.80878351E8
30340,Waterberg Welfare Society,CHARITIES,1138110,4.80878351E8
17788,Wellington Child & Family Welfare Society,CHARITIES,105000,4.80878351E8
30121,Wellington Society for the Aged,CHARITIES,500000,4.80878351E8
26259,Wenakker,CHARITIES,585137,4.80878351E8
28228,"Western Cape Forum for Intellectual
Disability",CHARITIES,267198,4.80878351E8
27967,Wilgerus Versorgingsdienste,CHARITIES,1903965,4.80878351E8
26666,Wolmaransstad Adra Hospice,CHARITIES,553000,4.80878351E8
22434,Wolmaransstad Adra Hospice,CHARITIES,154500,4.80878351E8
27532,Wolmer Community Project,CHARITIES,383600,4.80878351E8
32230,Women on Farms Project,CHARITIES,843300,4.80878351E8
28584,Woodside Sanctuary,CHARITIES,1067600,4.80878351E8
30125,Woodside Sanctuary Western Cape,CHARITIES,2210550,4.80878351E8
8464,Worcester Child & Family Welfare Society,CHARITIES,787297,4.80878351E8
31149,Worcester Ekumeniese Gemeenskapdiens,CHARITIES,238000,4.80878351E8
27965,Wynberg Society for the Aged,CHARITIES,351208,4.80878351E8
30648,Yatsar Centre,CHARITIES,2665994,4.80878351E8
21700,Youth Development Outreach,CHARITIES,500000,4.80878351E8
24194,Youth for Christ SA,CHARITIES,1500000,4.80878351E8
27585,Zakheni Early Learning Centre,CHARITIES,587670,4.80878351E8
20850,Zanokhanyo Educare Centre,CHARITIES,247936,4.80878351E8
30691,Zenzele Womens Project,CHARITIES,375000,4.80878351E8
23801,Ziphakamise,CHARITIES,1157189,4.80878351E8
25583,Zisize (Ingwavuma) Educational Trust,CHARITIES,201425,4.80878351E8
23736,Zululand Mental Health,CHARITIES,200000,4.80878351E8
31042,"Zwelibanzi Inclusive Assistance
Programme",CHARITIES,83650,4.80878351E8
31730,"2010 FIFA World Cup Organising
Committee of SA",Sport & Recreation,15000000,2.98268994E8
26712,Academia Private School,Sport & Recreation,270043,2.98268994E8
26712,Academia Private School,Sport & Recreation,270043,2.98268994E8
12733,Adams College,Sport & Recreation,701554,2.98268994E8
26022,Aggeneys Primary School,Sport & Recreation,50000,2.98268994E8
25856,Akido Federation of South Africa,Sport & Recreation,160000,2.98268994E8
23957,Amahlubi Secondary School,Sport & Recreation,250000,2.98268994E8
23957,Amahlubi Secondary School,Sport & Recreation,250000,2.98268994E8
26034,"Association for People with Disabilities &
Deaf - Free State",Sport & Recreation,596200,2.98268994E8
26356,Arena Aquatics,Sport & Recreation,279229,2.98268994E8
24124,Arethabeng Primary School,Sport & Recreation,250000,2.98268994E8
24088,Athletics Gauteng North,Sport & Recreation,400000,2.98268994E8
23557,Athletics South Africa,Sport & Recreation,2612313,2.98268994E8
19653,Athletics South Africa,Sport & Recreation,542000,2.98268994E8
25597,Athletics South Africa,Sport & Recreation,2078678,2.98268994E8
19653,Athletics South Africa,Sport & Recreation,542000,2.98268994E8
25597,Athletics South Africa,Sport & Recreation,2078679,2.98268994E8
14395,Athlone Athletics Baseball Club,Sport & Recreation,348066,2.98268994E8
24691,Athlone North Primary School,Sport & Recreation,250000,2.98268994E8
19232,Aurora Primary School,Sport & Recreation,275000,2.98268994E8
26373,Badminton South Africa,Sport & Recreation,395000,2.98268994E8
18776,Bafokeng High School,Sport & Recreation,50000,2.98268994E8
24131,Bafokeng Primary School,Sport & Recreation,350000,2.98268994E8
24131,Bafokeng Primary School,Sport & Recreation,350000,2.98268994E8
25116,Bakerville Primary School,Sport & Recreation,50000,2.98268994E8
25176,Barkly West Secondary School,Sport & Recreation,50000,2.98268994E8
24928,Basketball South Africa,Sport & Recreation,816666,2.98268994E8
14375,Bellville Sports Federation,Sport & Recreation,225000,2.98268994E8
24690,Belthorn Primary School,Sport & Recreation,320000,2.98268994E8
25359,Benny’s Sports Development & Academy,Sport & Recreation,50000,2.98268994E8
27408,Berea Lawn Tennis Club,Sport & Recreation,300000,2.98268994E8
25395,Bergvliet Sports Association,Sport & Recreation,225000,2.98268994E8
25395,Bergvliet Sports Association,Sport & Recreation,225000,2.98268994E8
27039,Big Bay Surf Lifesaving Club,Sport & Recreation,199250,2.98268994E8
12552,Bloemfontein Golf Club,Sport & Recreation,472019,2.98268994E8
25060,Blomvlei Primary School,Sport & Recreation,250000,2.98268994E8
24563,Blossom Street Primary,Sport & Recreation,50000,2.98268994E8
25177,Bloukrans Primary School,Sport & Recreation,332500,2.98268994E8
25315,Boitshoko Primary School,Sport & Recreation,350000,2.98268994E8
24987,Boland Athletics,Sport & Recreation,1251666,2.98268994E8
24987,Boland Athletics,Sport & Recreation,1251666,2.98268994E8
24987,Boland Athletics,Sport & Recreation,1251668,2.98268994E8
24546,Boland Cricket Board,Sport & Recreation,1049103,2.98268994E8
24546,Boland Cricket Board,Sport & Recreation,1049103,2.98268994E8
24445,Bonnievale Golf Club,Sport & Recreation,239626,2.98268994E8
25966,Border Athletics,Sport & Recreation,300000,2.98268994E8
26299,Border Cricket Board,Sport & Recreation,1900000,2.98268994E8
24967,Border Hockey Association,Sport & Recreation,1167500,2.98268994E8
18985,Border Technikon,Sport & Recreation,500000,2.98268994E8
23808,Botjhabatsatsi Intermediate School,Sport & Recreation,350000,2.98268994E8
25544,Bowls South Africa,Sport & Recreation,515247,2.98268994E8
32357,Bowls South Africa,Sport & Recreation,1325638,2.98268994E8
24702,Breede Valley Municipality,Sport & Recreation,500000,2.98268994E8
24593,Bridgeville Primary School,Sport & Recreation,50000,2.98268994E8
24126,Bud-Mbelle School,Sport & Recreation,250000,2.98268994E8
24126,Bud-Mbelle School,Sport & Recreation,250000,2.98268994E8
23995,Buhlebemfundo Primary School,Sport & Recreation,250000,2.98268994E8
23924,Buhlebesizwe Secondary School,Sport & Recreation,250000,2.98268994E8
23924,Buhlebesizwe Secondary School,Sport & Recreation,250000,2.98268994E8
24929,Caledonian Association Football Club,Sport & Recreation,100640,2.98268994E8
24403,Canoeing South Africa,Sport & Recreation,1320000,2.98268994E8
32401,Canoeing South Africa,Sport & Recreation,4032127,2.98268994E8
24093,Central Gauteng Athletics,Sport & Recreation,318000,2.98268994E8
24093,Central Gauteng Athletics,Sport & Recreation,318000,2.98268994E8
25208,Charleston Hill Primary,Sport & Recreation,50000,2.98268994E8
24980,Charlie Hofmeyr High School,Sport & Recreation,330600,2.98268994E8
26783,Chess South Africa,Sport & Recreation,467500,2.98268994E8
24365,Chizela Junior Secondary School,Sport & Recreation,250000,2.98268994E8
24595,Collegians Rugby Football Club,Sport & Recreation,200000,2.98268994E8
24565,Conville Primary School,Sport & Recreation,250000,2.98268994E8
24096,Cresslawn Primary School,Sport & Recreation,257640,2.98268994E8
20050,CSIR,Sport & Recreation,1000000,2.98268994E8
24169,Cwele Junior Secondary School,Sport & Recreation,50000,2.98268994E8
25099,Dagbreek Primary School,Sport & Recreation,350000,2.98268994E8
25099,Dagbreek Primary School,Sport & Recreation,350000,2.98268994E8
24601,De Villiers Primary School,Sport & Recreation,50000,2.98268994E8
24931,Delareyville Golf Club,Sport & Recreation,50000,2.98268994E8
25472,Diamantveld High School,Sport & Recreation,350000,2.98268994E8
24837,Diphuti Primary School,Sport & Recreation,307500,2.98268994E8
25953,Disability Sport KwaZulu Natal,Sport & Recreation,348000,2.98268994E8
26267,Disabled People SA - Southern Transvaal,Sport & Recreation,391000,2.98268994E8
24860,Dlamini School,Sport & Recreation,50000,2.98268994E8
25317,Dr EP Lekhela School,Sport & Recreation,250000,2.98268994E8
24348,Durban North Gymnastics Club,Sport & Recreation,246157,2.98268994E8
24348,Durban North Gymnastics Club,Sport & Recreation,246158,2.98268994E8
27643,Durbanville Rugby Club,Sport & Recreation,410220,2.98268994E8
23567,Eastern Cape Academy of Sport (ECAS),Sport & Recreation,1686000,2.98268994E8
26499,Eastern Cape Academy of Sport (ECAS),Sport & Recreation,84000,2.98268994E8
24371,Eastern Cape Amateur Boxing,Sport & Recreation,955334,2.98268994E8
24162,Eastern Cricket Union,Sport & Recreation,750000,2.98268994E8
24162,Eastern Cricket Union,Sport & Recreation,750000,2.98268994E8
24162,Eastern Cricket Union,Sport & Recreation,750000,2.98268994E8
24119,Eastern Gauteng Gymnastics Vereeniging,Sport & Recreation,50000,2.98268994E8
26216,Eastern Province Aquatics,Sport & Recreation,1000000,2.98268994E8
26836,Eastern Province Athletics Union,Sport & Recreation,412400,2.98268994E8
26298,Eastern Province Hockey Federation,Sport & Recreation,546375,2.98268994E8
25527,Elliot Höerskool,Sport & Recreation,350000,2.98268994E8
25527,Elliot Höerskool,Sport & Recreation,350000,2.98268994E8
25068,Elliot Ndabankulu - Makaula JS School,Sport & Recreation,50000,2.98268994E8
26355,Elsies River United RFC,Sport & Recreation,40000,2.98268994E8
22545,Emisebeni Primary School,Sport & Recreation,325000,2.98268994E8
26710,Emmanuel Christian School,Sport & Recreation,350000,2.98268994E8
24061,Emtshezi High School,Sport & Recreation,150000,2.98268994E8
25399,E-Sports,Sport & Recreation,300000,2.98268994E8
26300,Everton United FC,Sport & Recreation,300000,2.98268994E8
