Project Number,Province,Sector,Name,Amount
61173,GAUTENG,CHARITIES,Vaal Echoes of Love,1470137.0
65758,GAUTENG,CHARITIES,Bakone Community Home Based Care Centre,554000.0
67314,GAUTENG,CHARITIES,Khayalabantwana Bebambisene Organisation,341400.0
55829,GAUTENG,CHARITIES,Tumelo Home and Hospice Centre,350000.0
52414,GAUTENG,CHARITIES,Empilweni HIV & AIDS Projects,218676.0
56670,GAUTENG,CHARITIES,Amadea Safe House,270249.0
57824,GAUTENG,CHARITIES,Delta Christian Centre,269150.0
60085,GAUTENG,CHARITIES,Buhle Bemfundo Day Care,175500.0
55501,GAUTENG,CHARITIES,Ithemba Lakusasa Pre School & Day Care Centre,150261.0
41921,GAUTENG,CHARITIES,Hearts of Hope,243440.0
65956,GAUTENG,CHARITIES,Midrand Association for Home Based Care,870500.0
61981,GAUTENG,CHARITIES,Childline Gauteng Sunlight Safe House,745000.0
58877,GAUTENG,CHARITIES,Fadimehang Mental Care Centre,204192.0
68682,GAUTENG,CHARITIES,Land Access Movement SA (LAMOSA),682700.0
68280,GAUTENG,CHARITIES,Tsholofelo Educare Centre,320139.0
66636,GAUTENG,CHARITIES,Bundle of Joy Nursery School,217700.0
65124,GAUTENG,CHARITIES,Step by Step Pre-School,318000.0
62807,GAUTENG,CHARITIES,Zanempilo Home Based Care Training,300000.0
68289,GAUTENG,CHARITIES,SAVF Huis Dien Bothma,400600.0
65054,GAUTENG,CHARITIES,St Vincent School for the Deaf,1990038.0
50547,GAUTENG,CHARITIES,Motheo Training Institute Trust,130078.0
66080,GAUTENG,CHARITIES,Cotlands,4502000.0
51568,GAUTENG,CHARITIES,Sunshine Pre-School,185992.0
58017,GAUTENG,CHARITIES,Just One Child,148500.0
62304,GAUTENG,CHARITIES,Seatlholeng Day Care Centre,300000.0
56988,GAUTENG,CHARITIES,Mohlakeng Old Age Home,473700.0
57897,GAUTENG,CHARITIES,Bodies In Unity,83150.0
50152,GAUTENG,CHARITIES,National Welfare Social Serv & Dev Forum,461000.0
51292,GAUTENG,CHARITIES,Christian Social Council Derdepoort,227242.0
50600,GAUTENG,CHARITIES,Thuli Home,380600.0
50372,GAUTENG,CHARITIES,Ubuntu Youth Empowerment Forum,205000.0
42979,GAUTENG,CHARITIES,Child in Crisis Trust (Bethany House Trust),2104561.0
65728,GAUTENG,CHARITIES,Thenjiwe Creche,171090.0
64512,GAUTENG,CHARITIES,Coalition of Anglican Children's Homes,987000.0
65409,GAUTENG,CHARITIES,Christian Social Council Benoni,599940.0
67313,GAUTENG,CHARITIES,Johannesburg Childrens Home,1421000.0
66728,GAUTENG,CHARITIES,JS Mminele Child & Youth Care Centre,1389832.0
67327,GAUTENG,CHARITIES,Laudium Mental Health Society,657500.0
65087,GAUTENG,CHARITIES,Men For Development In South Africa,551000.0
63879,GAUTENG,CHARITIES,Munsieville Care For The Aged,1609737.0
61638,GAUTENG,CHARITIES,Thusanang Pre School & Educare Centre,228399.0
61279,GAUTENG,CHARITIES,Thekganang Support Group,529000.0
59662,GAUTENG,CHARITIES,Itumeleng Old Age Organisation,73250.0
68764,GAUTENG,CHARITIES,Thari Imbeleko Community Creche,276362.0
61296,GAUTENG,CHARITIES,Soweto Cheshire Home,651200.0
57878,GAUTENG,CHARITIES,Unity College,221317.0
65716,GAUTENG,CHARITIES,Tswelopele Pre-School & Creche,200000.0
61127,GAUTENG,CHARITIES,Love of Christ Ministries (a/c TLC Ministries),872513.0
65146,GAUTENG,CHARITIES,New World for Little Bambinos Day Care,200000.0
58040,GAUTENG,CHARITIES,Centre for Hospice Learning(Hospice Assoc Wits),345481.0
61279,GAUTENG,CHARITIES,Thekganang Support Group,529000.0
59662,GAUTENG,CHARITIES,Itumeleng Old Age Organisation,73250.0
68764,GAUTENG,CHARITIES,Thari Imbeleko Community Creche,276362.0
61296,GAUTENG,CHARITIES,Soweto Cheshire Home,651200.0
57878,GAUTENG,CHARITIES,Unity College,221317.0
65716,GAUTENG,CHARITIES,Tswelopele Pre-School & Creche,200000.0
61127,GAUTENG,CHARITIES,Love of Christ Ministries (a/c TLC Ministries),872513.0
65146,GAUTENG,CHARITIES,New World for Little Bambinos Day Care,200000.0
58040,GAUTENG,CHARITIES,Centre for Hospice Learning(Hospice Assoc Wits),345481.0
65374,GAUTENG,CHARITIES,JHB Child Welfare Society,1972550.0
68208,GAUTENG,CHARITIES,Ikageng Day Care & Pre-school,170250.0
57361,GAUTENG,CHARITIES,O Lerato Health Care,204200.0
57352,GAUTENG,CHARITIES,Lerato Care & Support Group,270025.0
59398,GAUTENG,CHARITIES,URCSA Namola Leuba,328851.0
59233,GAUTENG,CHARITIES,Planact,313820.0
65517,GAUTENG,CHARITIES,Itumeleng Sechaba Home Based Care,820980.0
59211,GAUTENG,CHARITIES,Siyazenzela Community Project,300000.0
65726,GAUTENG,CHARITIES,Emmanuel Fokazi Creche,207000.0
66187,GAUTENG,CHARITIES,Compassionate Friends,285000.0
66431,GAUTENG,CHARITIES,Ann Harding Cheshire Home,447000.0
64145,GAUTENG,CHARITIES,SA Mobility for the Blind Trust,509100.0
65649,GAUTENG,CHARITIES,Christian Social Council North,288227.0
63459,GAUTENG,CHARITIES,St John the Baptist Catholic Clinic,1991200.0
66154,GAUTENG,CHARITIES,SPCA Randburg,320000.0
65526,GAUTENG,CHARITIES,Kids Haven Benoni,970680.0
65196,GAUTENG,CHARITIES,Tswelopele Frail Care Centre,964000.0
63556,GAUTENG,CHARITIES,Motjholoko Early Childhood Development,100000.0
61632,GAUTENG,CHARITIES,Masa HBC/OVC,703000.0
61636,GAUTENG,CHARITIES,FAMSA Vaal Triangle,712310.0
59453,GAUTENG,CHARITIES,Zakheni Training and Development Centre,337525.0
65518,GAUTENG,CHARITIES,Mercy Clinic,500000.0
65762,GAUTENG,CHARITIES,Luvuyo Day Care Centre,211000.0
65127,GAUTENG,CHARITIES,Fantasyland Day Care Centre,157500.0
65710,GAUTENG,CHARITIES,Leratong Nursery School,233590.0
65391,GAUTENG,CHARITIES,Village Safe Haven,482000.0
65379,GAUTENG,CHARITIES,Arise and Shine Educare,164000.0
61154,GAUTENG,CHARITIES,Paballo Day Care Centre,571300.0
64934,GAUTENG,CHARITIES,Imisebeyelanga Services,783800.0
65311,GAUTENG,CHARITIES,Council for the Aged - Kempton Park,754863.0
65506,GAUTENG,CHARITIES,Lotsha Support Organisation,416850.0
65533,GAUTENG,CHARITIES,Tswelopele Boikutsong Pre School,200000.0
67069,GAUTENG,CHARITIES,Mbalenhle Day Care and Pre-School,202500.0
62548,GAUTENG,CHARITIES,Diepollo Day Care Centre,200000.0
65786,GAUTENG,CHARITIES,Pretoria Workshop for the Blind,1212000.0
65500,GAUTENG,CHARITIES,Ons Herberg Tehuis vir Bejaardes,375000.0
66061,GAUTENG,CHARITIES,CMR Gauteng East,269000.0
65488,GAUTENG,CHARITIES,Save the Children Fund Johannesburg,963800.0
63808,GAUTENG,CHARITIES,Lethabo Community Caregivers,246590.0
65779,GAUTENG,CHARITIES,Alpha World Ministries Social Care Centre,747886.0
66089,GAUTENG,CHARITIES,Mampheso Day Care Centre,224844.0
65505,GAUTENG,CHARITIES,Iphateleng Social Development Service,514000.0
61233,GAUTENG,CHARITIES,SAVF Millenium Centre,401262.0
63627,GAUTENG,CHARITIES,Lethabong Day Care Centre,391834.0
65784,GAUTENG,CHARITIES,SAVF Jasmyn Kleuterskool,46002.0
65502,GAUTENG,CHARITIES,Jehovah Jirah Orphanage Centre,400000.0
67370,GAUTENG,CHARITIES,Carryou Ministry,706800.0
65773,GAUTENG,CHARITIES,CMR Silverpark,276000.0
65536,GAUTENG,CHARITIES,CMR Valhalla,295534.0
58476,GAUTENG,CHARITIES,Yakha Ikusasa Manje Health Dev Centre,875300.0
49690,GAUTENG,CHARITIES,Kliptown Youth Program,42004.0
51926,GAUTENG,CHARITIES,Kabelo Early Learning Centre,99750.0
65993,GAUTENG,CHARITIES,Mmatlou Pre-School,156100.0
65722,GAUTENG,CHARITIES,Lebohang Child Care,233590.0
68664,GAUTENG,CHARITIES,Katlehong Creche,775914.0
65586,GAUTENG,CHARITIES,Assoc for People with Disabilities Gauteng North,1410948.0
61216,GAUTENG,CHARITIES,Manger Care Centre,657420.0
63624,GAUTENG,CHARITIES,Refilwe Day Care & Community Centre,278630.0
65060,GAUTENG,CHARITIES,Good Shepherd Fatima House,355081.0
65378,GAUTENG,CHARITIES,Boitumelo Pre-School and Creche,212000.0
66403,GAUTENG,CHARITIES,Vusisizwe Pre-School & Creche,220000.0
65427,GAUTENG,CHARITIES,Kids At Work Day Care,164489.0
66384,GAUTENG,CHARITIES,Rethabile Nursery & Pre-School,114000.0
65729,GAUTENG,CHARITIES,Boiteko Day Care Centre,130500.0
65739,GAUTENG,CHARITIES,Thusano Day Care Centre,200000.0
64138,GAUTENG,CHARITIES,Ububele Educational and Psychotherapy Trust,848500.0
66084,GAUTENG,CHARITIES,Rebelegeng Day Care Centre,514140.0
62909,GAUTENG,CHARITIES,Roger Stephen Protected Workshop,444000.0
68175,GAUTENG,CHARITIES,Lifeline Southern Africa,722000.0
63597,GAUTENG,CHARITIES,Passionate Feeding Scheme,500000.0
65524,GAUTENG,CHARITIES,Modern Day Care,129261.0
66418,GAUTENG,CHARITIES,Mercy House - A/C Sisters of Mercy Flower Street,580000.0
65537,GAUTENG,CHARITIES,Khanya Family Centre,997000.0
65765,GAUTENG,CHARITIES,Leboneng Day Care Centre,195440.0
63791,GAUTENG,CHARITIES,Tembisa Self Help Association (Disabled),794300.0
65539,GAUTENG,CHARITIES,Empilisweni Day Care,319212.0
65907,GAUTENG,CHARITIES,SAVF Margaretha Ackerman Tehuis,42983.0
61659,GAUTENG,CHARITIES,Krugersdorp Council for the Care of the Aged,994000.0
65763,GAUTENG,CHARITIES,Roodepoort Care of the Aged,810000.0
66050,GAUTENG,CHARITIES,SPCA Boksburg,650000.0
63788,GAUTENG,CHARITIES,Johannesburg Institute of Social Services,895440.0
56640,GAUTENG,CHARITIES,Tembisa CFW,1390000.0
67028,GAUTENG,CHARITIES,Bona Lesedi Educare Centre,179047.0
58968,GAUTENG,CHARITIES,Mabo HIV/ AIDS Genetics Home,426672.0
66158,GAUTENG,CHARITIES,Midcity Trauma Therapy Centre,408059.0
65501,GAUTENG,CHARITIES,Phumula Old Age Home,431535.0
65742,GAUTENG,CHARITIES,Carel du Toit Trust,904202.0
66350,GAUTENG,CHARITIES,Hands of Hope,529600.0
66496,GAUTENG,CHARITIES,Bana Pele Pre-School,111000.0
66495,GAUTENG,CHARITIES,Thusanang Pre-School no2,204445.0
63806,GAUTENG,CHARITIES,Uggy's Day Care Centre,200000.0
66393,GAUTENG,CHARITIES,Lethlabile Pre-School and Creche,200000.0
65382,GAUTENG,CHARITIES,Sunrise Day Care Centre,255000.0
63809,GAUTENG,CHARITIES,Atteridgeville Assoc. for the Phys. Disabled,415960.0
66438,GAUTENG,CHARITIES,North Gauteng Mental Health Society,1626255.0
63804,GAUTENG,CHARITIES,Siyafunda Pre- School,539500.0
66406,GAUTENG,CHARITIES,Polka Dot Angles Care Centre,142000.0
65705,GAUTENG,CHARITIES,Boitekanelo Day Care & After Care Centre,127000.0
66374,GAUTENG,CHARITIES,Sedibeng Day Care & Comm Dev Project,293000.0
66348,GAUTENG,CHARITIES,Tshepho Women Help Centre,200000.0
65588,GAUTENG,CHARITIES,Family Life Centre (FAMSA National),1622481.0
65149,GAUTENG,CHARITIES,Better Life Pre-School,200000.0
66433,GAUTENG,CHARITIES,Rusoord Centurion,60000.0
54426,GAUTENG,CHARITIES,Tshipi-Noto Primary (Intermediate) School,400000.0
65736,GAUTENG,CHARITIES,Rethabile Early Learning Centre,323500.0
65144,GAUTENG,CHARITIES,Boikago Day Care Centre,200000.0
66083,GAUTENG,CHARITIES,Redirile Day Care Centre,247171.0
66411,GAUTENG,CHARITIES,N.J Molope Pre-School,192000.0
61129,GAUTENG,CHARITIES,Kgotsofatso Community Development,214400.0
66504,GAUTENG,CHARITIES,Soweto HIV/AIDS Counsellors' Assoc,834000.0
66918,GAUTENG,CHARITIES,Smile of Joy HIV Orphans Oral Care,109070.0
67137,GAUTENG,CHARITIES,SAVF Armstrong Berning Kinderhuis,179000.0
68750,GAUTENG,CHARITIES,Siphesihle Home Based Care,484950.0
65800,GAUTENG,CHARITIES,Lesedi and Thusanang Day Care,500100.0
65711,GAUTENG,CHARITIES,Mamatshidi Day Care Centre,200000.0
54368,GAUTENG,CHARITIES,Vukuzenzele Assoc For Physically Disabled,800000.0
66388,GAUTENG,CHARITIES,Thusong Day Care,200000.0
66385,GAUTENG,CHARITIES,Good News Nursery Care Centre,200000.0
65621,GAUTENG,CHARITIES,Noma's Care Centre For The Aged,920000.0
66405,GAUTENG,CHARITIES,Bophelong Day Care,278000.0
65131,GAUTENG,CHARITIES,Emandleni Creche,461000.0
62819,GAUTENG,CHARITIES,Ratanang Day Care Centre,579760.0
66001,GAUTENG,CHARITIES,Christian Social Council Roodeplaat,360316.0
68552,GAUTENG,CHARITIES,Keamogetse Day Care,141635.0
68404,GAUTENG,CHARITIES,Ikageng Itireleng AIDS Ministry,675713.0
66500,GAUTENG,CHARITIES,Professional Pre-School,100000.0
66297,GAUTENG,CHARITIES,Sinike Amehlo Old Aged & Disabled Club,158854.0
65994,GAUTENG,CHARITIES,Thembelihle Pre-School,200000.0
66377,GAUTENG,CHARITIES,Rainbow Early Childhood Development,177000.0
65342,GAUTENG,CHARITIES,Faith Day Care & Pre-School,238300.0
66171,GAUTENG,CHARITIES,Kagiso Migson Manor,173487.0
65368,GAUTENG,CHARITIES,Khayelihle Day Care Centre,200000.0
65725,GAUTENG,CHARITIES,Boipatong Place of Care,200000.0
66420,GAUTENG,CHARITIES,Rearabilwe Community Development Project,96500.0
66063,GAUTENG,CHARITIES,Ntirisano Initiative,217000.0
63386,GAUTENG,CHARITIES,SANCA Soweto,1076611.0
65573,GAUTENG,CHARITIES,Life Line West Rand,529800.0
61354,GAUTENG,CHARITIES,Mmalebai Day Care Centre,873157.0
65494,GAUTENG,CHARITIES,Christian Social Council Pretoria North,281194.0
65683,GAUTENG,CHARITIES,Edenvale Child & Family Welfare Society,308000.0
66351,GAUTENG,CHARITIES,NISAA,830393.0
61226,GAUTENG,CHARITIES,Epworth Childrens Home,950000.0
64404,GAUTENG,CHARITIES,Yatsar Centre,435360.0
61983,GAUTENG,CHARITIES,Childline Gauteng,1927920.0
66498,GAUTENG,CHARITIES,Thuto Lesedi Day Care,355084.0
66858,GAUTENG,CHARITIES,Kitso Lesedi Community Development,785350.0
58134,GAUTENG,CHARITIES,Jack and Jill Creche and Pre-School,102751.0
57650,GAUTENG,CHARITIES,Asibavikele Support Group,201126.0
59025,GAUTENG,CHARITIES,Go Tumile Day Care Centre,160591.0
52346,GAUTENG,CHARITIES,Geluksdal Educare Centre,193500.0
57103,GAUTENG,CHARITIES,St John The Divine Orphans and Outreach,1922318.0
59284,GAUTENG,CHARITIES,Ikusasa Lethu Youth Project,495488.0
57000,GAUTENG,CHARITIES,Gladmag HIV Aids and Hospice,234500.0
57191,GAUTENG,CHARITIES,Thuthopele Day Care Centre,172778.0
53499,GAUTENG,CHARITIES,Vukovar Community Dev Initiatives(SA) (VUCODISA),230743.0
57581,GAUTENG,CHARITIES,Tsholofelo Early Learning Centre,115189.0
57559,GAUTENG,CHARITIES,Student Sponsorship Programme,247982.0
59194,GAUTENG,CHARITIES,Sibusekile Creche and Care Centre,140500.0
61649,GAUTENG,CHARITIES,Catholic Institute of Education,991260.0
63525,GAUTENG,CHARITIES,Mamelodi Association for People with Disabilities,408000.0
66000,GAUTENG,CHARITIES,Mercy Haven,434797.0
66739,GAUTENG,CHARITIES,Louis Trichardt Monument Home,140000.0
66574,GAUTENG,CHARITIES,Thusanang Mercy Care Group,440000.0
65998,GAUTENG,CHARITIES,Services for the Blind,526000.0
66449,GAUTENG,CHARITIES,Child & Family Welfare Society Greater Boksburg,1656000.0
66524,GAUTENG,CHARITIES,Avalon Association,235621.0
64408,GAUTENG,CHARITIES,Tshepong Centre for the Disabled,662368.0
67576,GAUTENG,CHARITIES,COPES-SA,936810.0
66464,GAUTENG,CHARITIES,Tshiamo Day Care Centre,151054.0
68307,GAUTENG,CHARITIES,Injabulo Care Centre,212795.0
67735,GAUTENG,CHARITIES,Little Angels Day Care Centre,162289.0
66375,GAUTENG,CHARITIES,Angles Day Care Centre,235000.0
66475,GAUTENG,CHARITIES,Sandringham Gardens,225000.0
68187,GAUTENG,CHARITIES,Kgaladi Day Care Centre,78900.0
66382,GAUTENG,CHARITIES,Thandanani Pre-School and Creche,200000.0
65443,GAUTENG,CHARITIES,Mokgaetsi Day Care Centre,100000.0
68047,GAUTENG,CHARITIES,Kagiso Day and After Care Centre,107466.0
66597,GAUTENG,CHARITIES,Masoko Day Care and Pre-School,92850.0
67234,GAUTENG,CHARITIES,Keen Buddies Day Care 2,114479.0
66402,GAUTENG,CHARITIES,Khulani Day Care Centre,170000.0
65721,GAUTENG,CHARITIES,Re Ananela Thuto Nursery & Pre-School,187000.0
67379,GAUTENG,CHARITIES,Bubblys Day Care,57250.0
65147,GAUTENG,CHARITIES,Hope Day Care Centre,35000.0
65981,GAUTENG,CHARITIES,Itereleng Development Projects,507000.0
65523,GAUTENG,CHARITIES,Sisonke Early Learning Centre,200000.0
65703,GAUTENG,CHARITIES,Thembi's Day Care Centre,180000.0
64357,GAUTENG,CHARITIES,Nazareth House,287748.0
66619,GAUTENG,CHARITIES,Solheim Tuiste vir Bejaardes,720791.0
66881,GAUTENG,CHARITIES,Family Health Services,576000.0
64574,GAUTENG,CHARITIES,St Giles Association,350000.0
67374,GAUTENG,CHARITIES,Tswelopele Day Care Centre,91669.0
66149,GAUTENG,CHARITIES,Christian Social Council Derdepoort,260766.0
65645,GAUTENG,CHARITIES,Johanna Raath  Service Centre,248000.0
67205,GAUTENG,CHARITIES,Sunshine Centre Association,785608.0
68599,GAUTENG,CHARITIES,Tumelong Mission,764120.0
66043,GAUTENG,CHARITIES,Fochville Social Services,256100.0
64406,GAUTENG,CHARITIES,Living Link,698500.0
66095,GAUTENG,CHARITIES,Legae La Bana Home Based Care,402500.0
66462,GAUTENG,CHARITIES,Welcome Pre School & Day Care Centre,123250.0
65707,GAUTENG,CHARITIES,Emfuleni Shelter For Boys,256000.0
65357,GAUTENG,CHARITIES,Tshwaraganang le Kgothlelle Munsieville Disabled Org,392600.0
66501,GAUTENG,CHARITIES,Vela Nawe Pre-School,128000.0
63504,GAUTENG,CHARITIES,Kanana Day Care Centre,94583.0
65530,GAUTENG,CHARITIES,Golang Education Outreach,210000.0
69421,GAUTENG,CHARITIES,Thesabu Day Care,166500.0
67160,GAUTENG,CHARITIES,Molatelo Day Care Centre,182682.0
68298,GAUTENG,CHARITIES,Lesedi La Thuto Day Care Centre,247600.0
67134,GAUTENG,CHARITIES,Woodside Sanctuary,971383.0
66370,GAUTENG,CHARITIES,Palmridge Senior Citizens Club,343000.0
66481,GAUTENG,CHARITIES,Sparrow Schools Educational Trust,726232.0
55943,GAUTENG,CHARITIES,South African Men's Action Group-a/c SAMAG,570100.0
67152,GAUTENG,CHARITIES,Boikhutsong Day Care Centre,145171.0
65664,GAUTENG,CHARITIES,Lambano Sanctuary,383784.0
56894,GAUTENG,CHARITIES,Hlalanathi Day Care Care & Pre-School,221699.0
52744,GAUTENG,CHARITIES,Umthombo Wempilo Service Centre,200000.0
52316,GAUTENG,CHARITIES,Reashoma Drop In Centre,193030.0
57150,GAUTENG,CHARITIES,Kagisano Educare,216400.0
65953,GAUTENG,CHARITIES,Abraham Kriel Kinderhuis,986800.0
68031,GAUTENG,CHARITIES,Tumelo Home and Hospice Centre,395000.0
67154,GAUTENG,CHARITIES,Ikwezi Lomso Day Care,28066.0
63827,GAUTENG,CHARITIES,Assoc for the Physically Disabled (Greater JHB),755205.0
65091,GAUTENG,CHARITIES,Horizon Care Centre,293036.0
65561,GAUTENG,CHARITIES,CMR Pretoria West,480247.0
65730,GAUTENG,CHARITIES,Kutlwanong E C D,174500.0
67147,GAUTENG,CHARITIES,Tumisang Day Care Centre,223896.0
66640,GAUTENG,CHARITIES,Kgatelopele Centre For Destitute Children,192898.0
66124,GAUTENG,CHARITIES,Dineo Day Care Centre,111000.0
66642,GAUTENG,CHARITIES,Golang Day Care Centre,458723.0
58927,GAUTENG,CHARITIES,St Theresa Educare Centre,126524.0
58503,GAUTENG,CHARITIES,Huis Davidtsz,141159.0
66294,GAUTENG,CHARITIES,Uncedolwethu(Our Help) Project,170794.0
66605,GAUTENG,CHARITIES,John Wesley Community Centre,453737.0
66607,GAUTENG,CHARITIES,Teddy Bear Clinic for Abused Children,726339.0
67581,GAUTENG,CHARITIES,Thari Ya Setshaba,518000.0
66058,GAUTENG,CHARITIES,God Care Day Care Centre,301529.0
65643,GAUTENG,CHARITIES,Eersterust Welfare Organisation for the Aged,553297.0
50501,GAUTENG,CHARITIES,SANCA Eastern Gauteng,296500.0
66801,GAUTENG,CHARITIES,East Rand Protective Workshop,437430.0
66323,GAUTENG,CHARITIES,Centurion Raad Vir Bejaardesorg,446330.0
66004,GAUTENG,CHARITIES,SACBC AIDS Office,526000.0
66827,GAUTENG,CHARITIES,Gateway Society (for the Mentally Disabled),440708.0
65753,GAUTENG,CHARITIES,Pta Child & Family Care Society (a/c Child Welfare Tshwane),1380000.0
66200,GAUTENG,CHARITIES,NG Ministry of Caring - a/c Barmhartigheidsdiens,289750.0
65906,GAUTENG,CHARITIES,Jewish Community Services,570000.0
67534,GAUTENG,CHARITIES,SANCA Pretoria,910000.0
65761,GAUTENG,CHARITIES,Vukani Community Development Organisation,309499.0
65909,GAUTENG,CHARITIES,Child & Family Welfare Society Vanderbijlpark,425000.0
67487,GAUTENG,CHARITIES,Empowering Emotionally Abused Women & Children,294500.0
66611,GAUTENG,CHARITIES,Goodhope Centre,130000.0
53538,GAUTENG,CHARITIES,Happy Day Care Centre,201300.0
56630,GAUTENG,CHARITIES,Berea Hillbrow Home of Hope,335500.0
67430,GAUTENG,CHARITIES,SAVF Ruimte Dienssentrum,275000.0
67475,GAUTENG,CHARITIES,Ratanda Day Care,170000.0
66487,GAUTENG,CHARITIES,Christian Social Cncl North (PTA Central),264992.0
65636,GAUTENG,CHARITIES,Botlhale Day Care Centre,812598.0
65515,GAUTENG,CHARITIES,SAVF Jubileum Sederhof Behuising,50297.0
66626,GAUTENG,CHARITIES,Motheo Training Institute Trust,199940.0
65985,GAUTENG,CHARITIES,Christian Social Services Kempton Park,537000.0
66572,GAUTENG,CHARITIES,Cancer Association of South Africa,4647499.0
66400,GAUTENG,CHARITIES,Autism South Africa,1553200.0
65743,GAUTENG,CHARITIES,Sizanani Home Based Care Giver Project,632459.0
65737,GAUTENG,CHARITIES,Usizolwethu Home Based Care No.2,495999.0
67202,GAUTENG,CHARITIES,Mmakwenadi Day Care,123500.0
67065,GAUTENG,CHARITIES,Thekganang Drop In Centre,183000.0
65996,GAUTENG,CHARITIES,Oasis Rover Crew,429500.0
66082,GAUTENG,CHARITIES,Phaphamang Day Care,259793.0
66594,GAUTENG,CHARITIES,Keagile Pre School,257000.0
67155,GAUTENG,CHARITIES,Itekeng Bagudi Social Club,87971.0
68332,GAUTENG,CHARITIES,Tshepong Pre-School,226041.0
67535,GAUTENG,CHARITIES,Bana Ba Bagodimo Drop In Centre,241000.0
66497,GAUTENG,CHARITIES,Jabulani Day Care & Pre School,264731.0
66412,GAUTENG,CHARITIES,Alexsan Kopano Educational Trust,234876.0
57873,GAUTENG,CHARITIES,Catholic Women's League,287350.0
66485,GAUTENG,CHARITIES,Arise and Shine Day Care Centre,276850.0
67518,GAUTENG,CHARITIES,Lesedi Day Care Centre,51850.0
67520,GAUTENG,CHARITIES,The Fully Human Stage,140500.0
67481,GAUTENG,CHARITIES,SAVF Senatus Dienssentrum (a/c Carletonville Service Centre),247000.0
67236,GAUTENG,CHARITIES,Keen Buddies Day Care Centre,72130.0
65908,GAUTENG,CHARITIES,Khanya Africa Development Services,157000.0
65799,GAUTENG,CHARITIES,Daniel Comboni Day and Night Care Centre,235000.0
56799,GAUTENG,CHARITIES,Don Bosco Educational Projects,195250.0
66606,GAUTENG,CHARITIES,Retina SA - North Gauteng,283500.0
66807,GAUTENG,CHARITIES,Siyabonga Life Skills Centre for the Mentally Disabled,188400.0
66857,GAUTENG,CHARITIES,Meriting Service for Older Persons,60000.0
50016,GAUTENG,CHARITIES,Centurion Hospice,673250.0
66447,GAUTENG,CHARITIES,Buang Creche and Pre-School,33345.0
65700,GAUTENG,CHARITIES,Avril Elizabeth Home,970000.0
66663,GAUTENG,CHARITIES,Cluny Farm Centre,555000.0
66440,GAUTENG,CHARITIES,Katlego Ka Tshepo,732800.0
67048,GAUTENG,CHARITIES,Prim Villa M H A,336359.0
66342,GAUTENG,CHARITIES,Kamohelo Community Development Centre,75000.0
67403,GAUTENG,CHARITIES,Cantsane Education Home Based Care,186750.0
67256,GAUTENG,CHARITIES,Inkululeko Day Care,180000.0
67679,GAUTENG,CHARITIES,Modimo O Moholo Association for the Disabled,400000.0
65922,GAUTENG,CHARITIES,Siyaphambili Development Centre,161500.0
66831,GAUTENG,CHARITIES,Barona Child Care and Support,200848.0
66817,GAUTENG,CHARITIES,Bambanani Support Group,247600.0
67311,GAUTENG,CHARITIES,Saartjie Naude Creche,300000.0
68760,GAUTENG,CHARITIES,Tshedimosetso Comm Dev & Other Projects,145150.0
57459,GAUTENG,CHARITIES,Garden of Children Day Care & Feeding Scheme,110275.0
65506,GAUTENG,CHARITIES,Lotsha Support Organisation,416850.0
51238,GAUTENG,CHARITIES,Assoc of Independent Ministries & Churches in Africa,85288.0
66698,GAUTENG,CHARITIES,King's Hope Development Foundation,303000.0
68054,GAUTENG,CHARITIES,Zamani Creche,119650.0
54767,GAUTENG,CHARITIES,Ga-Rankuwa Sunshine Hospice(HIV),359633.0
57962,GAUTENG,CHARITIES,Arise and Shine Day Care Centre,58911.0
65897,GAUTENG,CHARITIES,Waterval Christelike Sentrum,111673.0
67416,GAUTENG,CHARITIES,Eldorado Park Family Crisis Centre,625000.0
65837,GAUTENG,CHARITIES,Thusong Centre for the Disabled,778152.0
66744,GAUTENG,CHARITIES,Emily Hobhouse Housing,88239.0
68063,GAUTENG,CHARITIES,Amadea Safe House,601000.0
68217,GAUTENG,CHARITIES,Tsohang Creche,296466.0
66747,GAUTENG,CHARITIES,Monument Service Centre,46990.0
68295,GAUTENG,CHARITIES,Kgomotsehang Thuto Itsile Pre-School & Creche,333972.0
66068,GAUTENG,CHARITIES,Hugg-A-Bunny Early Childhood Learning,130926.0
66413,GAUTENG,CHARITIES,Ubuhle bontle Community Home Based Organisation,500000.0
66866,GAUTENG,CHARITIES,"Catholic Womens League, Pretoria",438172.0
66390,GAUTENG,CHARITIES,Naledi Ya Meso Day Care Centre,157000.0
65709,GAUTENG,CHARITIES,S Baepi T/A Progress Pre School,516000.0
66791,GAUTENG,CHARITIES,Friend in Need,521812.0
67107,GAUTENG,CHARITIES,Amcare,863771.0
66958,GAUTENG,CHARITIES,Viva Foundation of South Africa,238500.0
53809,GAUTENG,CHARITIES,Barkston Place,145500.0
67479,GAUTENG,CHARITIES,SAVF Legae/ Ikhaya for the Aged,200275.0
65878,GAUTENG,CHARITIES,Guild Cottage Home,711000.0
67792,GAUTENG,CHARITIES,Frederic Place-Home for the Aged,725500.0
67569,GAUTENG,CHARITIES,Baragwanath Hospital Comforts Committee,334970.0
67830,GAUTENG,CHARITIES,House Otto Self Help Centre,381700.0
67038,GAUTENG,CHARITIES,St. Anne's Home for Aged Women (a/c CWL),78427.0
65899,GAUTENG,CHARITIES,Rhema Service Foundation,390000.0
