Date,Sector,Province,Project Number,Name,Amount
2025-04-10T00:00:00Z,UNSPECIFIED,EC,M56691,Dimbaza Society For The Aged,141400.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M56991,Coalition of Anglican Children's Homes,108000.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M57075,Childline Gauteng NPC,100000.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M57462,Amina Marula Foundation NPC,100000.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M58513,Sbonelo Edu-Care,131500.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M58610,Footgolf South African Association,651860.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M58763,NG Welfare Gauteng,234178.0
2025-04-10T00:00:00Z,UNSPECIFIED,GP,M61585,Golden Youth Club,133500.0
2025-04-10T00:00:00Z,UNSPECIFIED,KZN,M56675,Mlotshwa Creche,57792.0
2025-04-24T00:00:00Z,UNSPECIFIED,NW,M61240,Community Based Initiatives-26032,781850.0
2025-04-24T00:00:00Z,UNSPECIFIED,WC,M58154,ACVV Paarl Vallei,133800.0
2025-04-24T00:00:00Z,UNSPECIFIED,WC,M61003,Cape Town Philharmonic Orchestra NPC,654968.0
2025-04-24T00:00:00Z,UNSPECIFIED,WC,M61143,Safe - Cities,270266.0
2025-04-24T00:00:00Z,UNSPECIFIED,WC,M61526,Jikela Studios,326500.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56128,Hitapfuneka Drop in Centre,276000.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56263,Mapapila Creche,59200.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56287,Vukheta Day Care Centre,76066.6
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56366,Amukelo Roadhouse Disable Centre,108500.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56390,Nghezimani Day Care Centre,219340.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56525,MHINGA KULANI DAY CARE CENTRE,100000.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56547,Shifaxani Day Care Centre,43100.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M56687,Hanyani Day Care Centre,48730.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M57178,Nyavani Home Based Care,176000.0
2025-04-24T00:00:00Z,UNSPECIFIED,NW,M59633,Setshabelo- Thabeng,231361.0
2025-04-24T00:00:00Z,UNSPECIFIED,NW,M59742,Rustenburg Child And Family Welfare-18017,1541482.0
2025-04-24T00:00:00Z,UNSPECIFIED,NW,M61837,Itsoseng Secondary School,50438.0
2025-04-24T00:00:00Z,UNSPECIFIED,LP,M59035,Mantopi Primary School,70400.0
2025-04-24T00:00:00Z,UNSPECIFIED,WC,M61337,Good Hope Local Football Association,184015.0
2025-04-24T00:00:00Z,UNSPECIFIED,NW,M61299,Christelik- Maatskaplike Raad Brits,851375.0
2025-04-24T00:00:00Z,UNSPECIFIED,EC,M57482,ACVV Khayalethu Child amd Youth Care Centre,600988.0
2025-04-24T00:00:00Z,UNSPECIFIED,GP,M56438,Tshwane Blind Care and Support,450900.0
2025-04-24T00:00:00Z,UNSPECIFIED,KZN,M57587,Ekuzwaneni Primary School,103000.0
2025-04-24T00:00:00Z,UNSPECIFIED,KZN,M60167,Cebolesizwe Combined Primary School,210000.0
2025-04-24T00:00:00Z,UNSPECIFIED,KZN,M60323,Vukufunde Primary School,200000.0
2025-04-24T00:00:00Z,UNSPECIFIED,GP,M61310,Glued To The Arts,145500.0
2025-04-24T00:00:00Z,UNSPECIFIED,KZN,M57901,Aryan Benevolent Home Council,548239.0
2025-04-24T00:00:00Z,UNSPECIFIED,KZN,M61273,University of KwaZulu - Natal Foundation,600000.0
2025-04-24T00:00:00Z,UNSPECIFIED,EC,M59028,Nqonqweni Primary School,76000.0
