Date,Sector,Province,Project Number,Name,Amount
2021-04-21T00:00:00Z,Arts,GP,56096,Voortrekker Monument and Nature Reserve,1765496.0
2021-04-21T00:00:00Z,Arts,KZN,M31387,Sikhulakunyenani Projects,393334.0
2021-04-21T00:00:00Z,Arts,KZN,M31378,Lubandzi Development,378000.0
2021-04-21T00:00:00Z,Arts,KZN,M31395,Masakhane Agricultural Farming Project,373000.0
2021-04-21T00:00:00Z,Arts,KZN,M31377,Ikusaselihle Community Organisation,337700.0
2021-04-21T00:00:00Z,Arts,KZN,M31405,Siphumoya NPC,320000.0
2021-04-21T00:00:00Z,Arts,KZN,M31397,Iqoma Art and Culture,308000.0
2021-04-21T00:00:00Z,Arts,KZN,M31364,Thwalisizwe Art Development NPC,293000.0
2021-04-21T00:00:00Z,Arts,KZN,M31401,Bathathe Organisation,288000.0
2021-04-21T00:00:00Z,Arts,KZN,M31407,Inkazimulo Youth Empowerment,278000.0
2021-04-21T00:00:00Z,Arts,KZN,M31402,Siphosomusa Organisation,250000.0
2021-04-28T00:00:00Z,Arts,LP,M31381,Salome Mafokwana Foundation,306800.0
2021-04-28T00:00:00Z,Arts,LP,M31450,Redhill Arts Foundation,283000.0
2021-04-28T00:00:00Z,Arts,LP,M31448,Thuthukanathi Arts Group,263000.0
2021-04-28T00:00:00Z,Arts,LP,M31452,Rolley Foundation,232500.0
2021-04-28T00:00:00Z,Arts,LP,M31453,Diphetogo Foundation,224500.0
2021-04-28T00:00:00Z,Arts,LP,M31449,Khulekani Creative Minds,223000.0
2021-04-28T00:00:00Z,Arts,EC,M31601,Green Environment Feeding Hope,159826.0
2021-05-04T00:00:00Z,Arts,NC,M31602,Unique Empowerment Projects,828000.0
2021-05-04T00:00:00Z,Charities,NC,M31578,Self-Worth Centre,539770.0
2021-05-04T00:00:00Z,Arts,NW,M31498,Mosekaphofu Cultural Mull,538000.0
2021-05-04T00:00:00Z,Arts,GP,M31362,Together-As-One Community Development Organisation,508000.0
2021-05-04T00:00:00Z,Charities,KZN,M31491,Simunye Creche,497576.0
2021-05-04T00:00:00Z,Arts,NC,M31579,Before Dark Initiative,421500.0
2021-05-04T00:00:00Z,Arts,GP,M31357,Global Energy Markets of South Africa,398400.0
2021-05-04T00:00:00Z,Arts,NC,M31884,Garage Dance Ensemble - 5206,395500.0
2021-05-04T00:00:00Z,Charities,LP,M31577,Nakambe Centre for Child and Family Care,366689.0
2021-05-04T00:00:00Z,Arts,GP,M31429,Calabash of Arts Creatives,338000.0
2021-05-04T00:00:00Z,Charities,GP,M31379,Mmabana Daycare and Pre-school,312639.0
2021-05-04T00:00:00Z,Charities,LP,M31707,Nhlayiso Disable Centre,308970.0
2021-05-04T00:00:00Z,Arts,FS,M31439,Kutloanong Arts and Culture Council,298000.0
2021-05-04T00:00:00Z,Arts,GP,M31413,South Africa Youth Development Organisation,297000.0
2021-05-04T00:00:00Z,Arts,LP,M31592,Lisika United Foundation,293000.0
2021-05-04T00:00:00Z,Arts,NC,M31512,Thumamina Author Productions - 21157,287000.0
2021-05-04T00:00:00Z,Charities,LP,M31663,Holy Life Daycare Centre,274000.0
2021-05-04T00:00:00Z,Arts,GP,M31406,Unathi Development Arts and Culture Center,238000.0
2021-05-04T00:00:00Z,Arts,NW,M31538,Tlokwe Arts Group - 21177,233000.0
2021-05-04T00:00:00Z,Arts,GP,M31403,Gudlas Arts,221000.0
