Date,Sector,Province,Project Number,Name,Amount
2024-04-24T00:00:00Z,UNSPECIFIED,WC,M58567,Heritage Education and Research Project,400000.0
2024-04-24T00:00:00Z,UNSPECIFIED,WC,M58966,Masifunde Community Development NPC,450000.0
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M60563,North West Development Agency NPC,2900000.0
2024-04-24T00:00:00Z,UNSPECIFIED,WC,M57276,Jelly Beanz Foundation,1808800.0
2024-04-24T00:00:00Z,UNSPECIFIED,NC,M59468,ACVV Calvinia,3000000.0
2024-04-24T00:00:00Z,UNSPECIFIED,LP,M56875,Matondoni Primary School,450000.0
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M57447,Brits Rusoord,2052800.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57751,Masizani Primary School,484000.0
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M57110,Thusanang Trauma Centre - 8581,1593044.0
2024-04-24T00:00:00Z,UNSPECIFIED,LP,M56524,Nhluvukiso Early Learning Centre,309380.0
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M58357,Marang Child Care and Art Centre,738604.8
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M61240,Community Based Initiatives-26032,3127400.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M56570,Ngwane J.S School,412507.0
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M56518,Child & Family Welfare Potchefstroom,2251173.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57379,Sisonke Primary School,500000.0
2024-04-24T00:00:00Z,UNSPECIFIED,MP,M58131,Motseleng Primary School,485650.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M56788,Kwadophi Primary School,499500.0
2024-04-24T00:00:00Z,UNSPECIFIED,MP,M58857,Madlayedwa Secondary School,1074609.9
2024-04-24T00:00:00Z,UNSPECIFIED,MP,M61171,Salani Primary School,848715.0
2024-04-24T00:00:00Z,UNSPECIFIED,GP,M57477,South African Association of Talent Modelling and Entertainment NPC,5683872.0
2024-04-24T00:00:00Z,UNSPECIFIED,EC,M57441,Qalakahle Primary School,470436.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57277,Coniston Primary School,495000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57359,Kwethu Primary School,495200.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M56792,Mashesheleng Primary School,487000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57398,Ikusasalethu Secondary School,383876.0
2024-04-24T00:00:00Z,UNSPECIFIED,LP,M56285,Xitiyisa Community Project,920000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57217,Sibuyane Primary School,490000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57558,Lutho Primary School,450000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57365,Enhlokweni Primary School,500000.0
2024-04-24T00:00:00Z,UNSPECIFIED,LP,M56559,Pfuka Rixile Day Care Centre,320000.0
2024-04-24T00:00:00Z,UNSPECIFIED,EC,M57479,Gqira Junior Secondary School,250000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57376,Phambili Primary School,499999.0
2024-04-24T00:00:00Z,UNSPECIFIED,WC,M56826,Ihlumelo Junior Secondary School,493311.0
2024-04-24T00:00:00Z,UNSPECIFIED,NW,M57706,Huis Delarey Tuise Vir Bejaardes,2800000.0
2024-04-24T00:00:00Z,UNSPECIFIED,GP,M56957,Mononong Primary School,500000.0
2024-04-24T00:00:00Z,UNSPECIFIED,MP,M56549,German S Chiloane Secondary School,490000.0
2024-04-24T00:00:00Z,UNSPECIFIED,NC,M57972,Laerskool De Aar,499100.0
2024-04-24T00:00:00Z,UNSPECIFIED,EC,M57472,Gonya Primary School,250000.0
2024-04-24T00:00:00Z,UNSPECIFIED,GP,M57589,Jojweni Primary School,439039.0
2024-04-24T00:00:00Z,UNSPECIFIED,GP,M57675,Mofolo Primary School,500000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57050,Mgangatho Primary School,367438.0
2024-04-24T00:00:00Z,UNSPECIFIED,GP,M58051,Basani Primary School,421000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57179,Gula Primary School,1028000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M57180,Magengebula Primary School,1308760.0
2024-04-24T00:00:00Z,UNSPECIFIED,WC,M57151,Dalubuhle Primary School,810000.0
2024-04-24T00:00:00Z,UNSPECIFIED,KZN,M56267,Amangogo Creche,368000.0
2024-04-24T00:00:00Z,UNSPECIFIED,FS,M56148,Mabolela Educare Centre,660560.0
2024-04-24T00:00:00Z,UNSPECIFIED,MP,M56724,M.O. Mashego Primary School,442100.0
